what is crypto,isPartial,date
32,False,2019-08-11
49,False,2019-08-18
38,False,2019-08-25
34,False,2019-09-01
44,False,2019-09-08
31,False,2019-09-15
50,False,2019-09-22
50,False,2019-09-29
64,False,2019-10-06
33,False,2019-10-13
36,False,2019-10-20
31,False,2019-10-27
31,False,2019-11-03
34,False,2019-11-10
31,False,2019-11-17
29,False,2019-11-24
44,False,2019-12-01
40,False,2019-12-08
28,False,2019-12-15
25,False,2019-12-22
29,False,2019-12-29
23,False,2020-01-05
59,False,2020-01-12
29,False,2020-01-19
42,False,2020-01-26
45,False,2020-02-02
37,False,2020-02-09
59,False,2020-02-16
42,False,2020-02-23
47,False,2020-03-01
46,False,2020-03-08
56,False,2020-03-15
46,False,2020-03-22
46,False,2020-03-29
67,False,2020-04-05
49,False,2020-04-12
40,False,2020-04-19
60,False,2020-04-26
70,False,2020-05-03
76,False,2020-05-10
51,False,2020-05-17
59,False,2020-05-24
44,False,2020-05-31
70,False,2020-06-07
55,False,2020-06-14
49,False,2020-06-21
59,False,2020-06-28
45,False,2020-07-05
94,False,2020-07-12
67,False,2020-07-19
71,False,2020-07-26
100,True,2020-08-02
