crypto market,isPartial,date
42,False,2019-08-11
40,False,2019-08-18
27,False,2019-08-25
22,False,2019-09-01
38,False,2019-09-08
36,False,2019-09-15
36,False,2019-09-22
17,False,2019-09-29
44,False,2019-10-06
27,False,2019-10-13
39,False,2019-10-20
30,False,2019-10-27
35,False,2019-11-03
21,False,2019-11-10
20,False,2019-11-17
21,False,2019-11-24
28,False,2019-12-01
34,False,2019-12-08
28,False,2019-12-15
27,False,2019-12-22
24,False,2019-12-29
34,False,2020-01-05
41,False,2020-01-12
30,False,2020-01-19
41,False,2020-01-26
25,False,2020-02-02
55,False,2020-02-09
47,False,2020-02-16
52,False,2020-02-23
44,False,2020-03-01
61,False,2020-03-08
56,False,2020-03-15
44,False,2020-03-22
35,False,2020-03-29
37,False,2020-04-05
44,False,2020-04-12
47,False,2020-04-19
50,False,2020-04-26
42,False,2020-05-03
45,False,2020-05-10
36,False,2020-05-17
36,False,2020-05-24
45,False,2020-05-31
42,False,2020-06-07
56,False,2020-06-14
28,False,2020-06-21
36,False,2020-06-28
54,False,2020-07-05
31,False,2020-07-12
52,False,2020-07-19
63,False,2020-07-26
100,True,2020-08-02
