apex,isPartial,date
49,False,2019-05-26
61,False,2019-06-02
57,False,2019-06-09
59,False,2019-06-16
53,False,2019-06-23
80,False,2019-06-30
61,False,2019-07-07
57,False,2019-07-14
51,False,2019-07-21
49,False,2019-07-28
51,False,2019-08-04
60,False,2019-08-11
53,False,2019-08-18
48,False,2019-08-25
49,False,2019-09-01
46,False,2019-09-08
45,False,2019-09-15
47,False,2019-09-22
79,False,2019-09-29
63,False,2019-10-06
62,False,2019-10-13
51,False,2019-10-20
43,False,2019-10-27
48,False,2019-11-03
42,False,2019-11-10
41,False,2019-11-17
41,False,2019-11-24
52,False,2019-12-01
46,False,2019-12-08
45,False,2019-12-15
42,False,2019-12-22
43,False,2019-12-29
46,False,2020-01-05
52,False,2020-01-12
55,False,2020-01-19
64,False,2020-01-26
92,False,2020-02-02
68,False,2020-02-09
65,False,2020-02-16
64,False,2020-02-23
68,False,2020-03-01
52,False,2020-03-08
48,False,2020-03-15
58,False,2020-03-22
61,False,2020-03-29
73,False,2020-04-05
56,False,2020-04-12
52,False,2020-04-19
53,False,2020-04-26
59,False,2020-05-03
100,False,2020-05-10
73,True,2020-05-17
