kill with guns,isPartial,date
100,False,2019-09-01
46,False,2019-09-08
45,False,2019-09-15
23,False,2019-09-22
54,False,2019-09-29
46,False,2019-10-06
46,False,2019-10-13
45,False,2019-10-20
38,False,2019-10-27
34,False,2019-11-03
37,False,2019-11-10
30,False,2019-11-17
55,False,2019-11-24
59,False,2019-12-01
52,False,2019-12-08
68,False,2019-12-15
26,False,2019-12-22
36,False,2019-12-29
44,False,2020-01-05
42,False,2020-01-12
22,False,2020-01-19
32,False,2020-01-26
57,False,2020-02-02
65,False,2020-02-09
70,False,2020-02-16
69,False,2020-02-23
55,False,2020-03-01
83,False,2020-03-08
47,False,2020-03-15
50,False,2020-03-22
39,False,2020-03-29
52,False,2020-04-05
57,False,2020-04-12
25,False,2020-04-19
28,False,2020-04-26
38,False,2020-05-03
52,False,2020-05-10
39,False,2020-05-17
47,False,2020-05-24
52,False,2020-05-31
53,False,2020-06-07
48,False,2020-06-14
63,False,2020-06-21
64,False,2020-06-28
57,False,2020-07-05
71,False,2020-07-12
29,False,2020-07-19
32,False,2020-07-26
78,False,2020-08-02
64,False,2020-08-09
63,False,2020-08-16
61,False,2020-08-23
