how to die,isPartial,date
48,False,2019-09-01
54,False,2019-09-08
54,False,2019-09-15
55,False,2019-09-22
54,False,2019-09-29
57,False,2019-10-06
55,False,2019-10-13
60,False,2019-10-20
59,False,2019-10-27
57,False,2019-11-03
60,False,2019-11-10
59,False,2019-11-17
51,False,2019-11-24
63,False,2019-12-01
71,False,2019-12-08
58,False,2019-12-15
56,False,2019-12-22
57,False,2019-12-29
61,False,2020-01-05
62,False,2020-01-12
63,False,2020-01-19
84,False,2020-01-26
68,False,2020-02-02
67,False,2020-02-09
67,False,2020-02-16
77,False,2020-02-23
86,False,2020-03-01
92,False,2020-03-08
87,False,2020-03-15
92,False,2020-03-22
100,False,2020-03-29
89,False,2020-04-05
83,False,2020-04-12
85,False,2020-04-19
86,False,2020-04-26
89,False,2020-05-03
84,False,2020-05-10
80,False,2020-05-17
80,False,2020-05-24
71,False,2020-05-31
69,False,2020-06-07
69,False,2020-06-14
70,False,2020-06-21
68,False,2020-06-28
71,False,2020-07-05
73,False,2020-07-12
66,False,2020-07-19
69,False,2020-07-26
66,False,2020-08-02
66,False,2020-08-09
67,False,2020-08-16
69,False,2020-08-23
