teen suicide,isPartial,date
43,False,2019-08-11
36,False,2019-08-18
41,False,2019-08-25
53,False,2019-09-01
73,False,2019-09-08
68,False,2019-09-15
60,False,2019-09-22
100,False,2019-09-29
61,False,2019-10-06
74,False,2019-10-13
73,False,2019-10-20
62,False,2019-10-27
78,False,2019-11-03
68,False,2019-11-10
84,False,2019-11-17
51,False,2019-11-24
66,False,2019-12-01
59,False,2019-12-08
57,False,2019-12-15
39,False,2019-12-22
50,False,2019-12-29
56,False,2020-01-05
61,False,2020-01-12
60,False,2020-01-19
73,False,2020-01-26
56,False,2020-02-02
56,False,2020-02-09
61,False,2020-02-16
68,False,2020-02-23
59,False,2020-03-01
63,False,2020-03-08
34,False,2020-03-15
30,False,2020-03-22
25,False,2020-03-29
34,False,2020-04-05
46,False,2020-04-12
31,False,2020-04-19
52,False,2020-04-26
41,False,2020-05-03
36,False,2020-05-10
41,False,2020-05-17
31,False,2020-05-24
30,False,2020-05-31
29,False,2020-06-07
39,False,2020-06-14
37,False,2020-06-21
25,False,2020-06-28
34,False,2020-07-05
38,False,2020-07-12
39,False,2020-07-19
37,False,2020-07-26
34,True,2020-08-02
