suicide song,isPartial,date
68,False,2019-08-11
65,False,2019-08-18
81,False,2019-08-25
82,False,2019-09-01
90,False,2019-09-08
74,False,2019-09-15
98,False,2019-09-22
76,False,2019-09-29
60,False,2019-10-06
100,False,2019-10-13
90,False,2019-10-20
77,False,2019-10-27
86,False,2019-11-03
80,False,2019-11-10
70,False,2019-11-17
58,False,2019-11-24
84,False,2019-12-01
92,False,2019-12-08
76,False,2019-12-15
61,False,2019-12-22
74,False,2019-12-29
82,False,2020-01-05
79,False,2020-01-12
72,False,2020-01-19
75,False,2020-01-26
92,False,2020-02-02
74,False,2020-02-09
88,False,2020-02-16
81,False,2020-02-23
73,False,2020-03-01
76,False,2020-03-08
47,False,2020-03-15
75,False,2020-03-22
78,False,2020-03-29
82,False,2020-04-05
96,False,2020-04-12
81,False,2020-04-19
95,False,2020-04-26
58,False,2020-05-03
78,False,2020-05-10
65,False,2020-05-17
82,False,2020-05-24
79,False,2020-05-31
84,False,2020-06-07
66,False,2020-06-14
69,False,2020-06-21
62,False,2020-06-28
83,False,2020-07-05
93,False,2020-07-12
49,False,2020-07-19
69,False,2020-07-26
89,True,2020-08-02
