hopeless,isPartial,date
65,False,2019-08-11
73,False,2019-08-18
70,False,2019-08-25
70,False,2019-09-01
71,False,2019-09-08
73,False,2019-09-15
71,False,2019-09-22
68,False,2019-09-29
86,False,2019-10-06
75,False,2019-10-13
70,False,2019-10-20
62,False,2019-10-27
86,False,2019-11-03
82,False,2019-11-10
73,False,2019-11-17
63,False,2019-11-24
68,False,2019-12-01
71,False,2019-12-08
61,False,2019-12-15
61,False,2019-12-22
69,False,2019-12-29
69,False,2020-01-05
84,False,2020-01-12
89,False,2020-01-19
74,False,2020-01-26
73,False,2020-02-02
95,False,2020-02-09
82,False,2020-02-16
77,False,2020-02-23
69,False,2020-03-01
77,False,2020-03-08
73,False,2020-03-15
79,False,2020-03-22
82,False,2020-03-29
84,False,2020-04-05
100,False,2020-04-12
89,False,2020-04-19
78,False,2020-04-26
74,False,2020-05-03
69,False,2020-05-10
83,False,2020-05-17
81,False,2020-05-24
65,False,2020-05-31
77,False,2020-06-07
76,False,2020-06-14
70,False,2020-06-21
69,False,2020-06-28
68,False,2020-07-05
68,False,2020-07-12
67,False,2020-07-19
76,False,2020-07-26
70,True,2020-08-02
