suicide resources,isPartial,date
76,False,2019-09-08
46,False,2019-09-15
100,False,2019-09-22
47,False,2019-09-29
42,False,2019-10-06
47,False,2019-10-13
29,False,2019-10-20
23,False,2019-10-27
64,False,2019-11-03
11,False,2019-11-10
40,False,2019-11-17
12,False,2019-11-24
73,False,2019-12-01
34,False,2019-12-08
42,False,2019-12-15
13,False,2019-12-22
12,False,2019-12-29
34,False,2020-01-05
22,False,2020-01-12
34,False,2020-01-19
22,False,2020-01-26
39,False,2020-02-02
28,False,2020-02-09
33,False,2020-02-16
27,False,2020-02-23
43,False,2020-03-01
26,False,2020-03-08
26,False,2020-03-15
36,False,2020-03-22
20,False,2020-03-29
20,False,2020-04-05
30,False,2020-04-12
59,False,2020-04-19
20,False,2020-04-26
39,False,2020-05-03
30,False,2020-05-10
36,False,2020-05-17
41,False,2020-05-24
25,False,2020-05-31
31,False,2020-06-07
37,False,2020-06-14
49,False,2020-06-21
28,False,2020-06-28
49,False,2020-07-05
22,False,2020-07-12
28,False,2020-07-19
45,False,2020-07-26
50,False,2020-08-02
33,False,2020-08-09
22,False,2020-08-16
37,False,2020-08-23
38,True,2020-08-30
