suicide help + suicide help near me,isPartial,date
50,False,2019-01-06
72,False,2019-01-13
68,False,2019-01-20
68,False,2019-01-27
71,False,2019-02-03
81,False,2019-02-10
91,False,2019-02-17
85,False,2019-02-24
95,False,2019-03-03
82,False,2019-03-10
79,False,2019-03-17
100,False,2019-03-24
95,False,2019-03-31
67,False,2019-04-07
58,False,2019-04-14
78,False,2019-04-21
71,False,2019-04-28
67,False,2019-05-05
82,False,2019-05-12
75,False,2019-05-19
65,False,2019-05-26
63,False,2019-06-02
67,False,2019-06-09
62,False,2019-06-16
64,False,2019-06-23
47,False,2019-06-30
58,False,2019-07-07
63,False,2019-07-14
52,False,2019-07-21
43,False,2019-07-28
49,False,2019-08-04
70,False,2019-08-11
59,False,2019-08-18
76,False,2019-08-25
74,False,2019-09-01
70,False,2019-09-08
83,False,2019-09-15
79,False,2019-09-22
91,False,2019-09-29
96,False,2019-10-06
84,False,2019-10-13
98,False,2019-10-20
72,False,2019-10-27
74,False,2019-11-03
79,False,2019-11-10
80,False,2019-11-17
58,False,2019-11-24
75,False,2019-12-01
58,False,2019-12-08
59,False,2019-12-15
40,False,2019-12-22
55,False,2019-12-29
68,False,2020-01-05
65,False,2020-01-12
58,False,2020-01-19
73,False,2020-01-26
70,False,2020-02-02
69,False,2020-02-09
68,False,2020-02-16
85,False,2020-02-23
83,False,2020-03-01
91,False,2020-03-08
54,False,2020-03-15
47,False,2020-03-22
61,False,2020-03-29
63,False,2020-04-05
60,False,2020-04-12
83,False,2020-04-19
70,False,2020-04-26
66,False,2020-05-03
72,False,2020-05-10
54,False,2020-05-17
71,False,2020-05-24
48,False,2020-05-31
53,False,2020-06-07
75,False,2020-06-14
56,False,2020-06-21
71,False,2020-06-28
79,False,2020-07-05
63,False,2020-07-12
56,False,2020-07-19
56,False,2020-07-26
63,False,2020-08-02
62,False,2020-08-09
61,False,2020-08-16
64,False,2020-08-23
70,False,2020-08-30
