suicide zero + suicide zero alliance,isPartial,date
71,False,2019-01-06
23,False,2019-01-13
47,False,2019-01-20
53,False,2019-01-27
60,False,2019-02-03
38,False,2019-02-10
34,False,2019-02-17
23,False,2019-02-24
23,False,2019-03-03
31,False,2019-03-10
59,False,2019-03-17
59,False,2019-03-24
39,False,2019-03-31
55,False,2019-04-07
48,False,2019-04-14
64,False,2019-04-21
70,False,2019-04-28
63,False,2019-05-05
49,False,2019-05-12
41,False,2019-05-19
49,False,2019-05-26
71,False,2019-06-02
72,False,2019-06-09
48,False,2019-06-16
25,False,2019-06-23
25,False,2019-06-30
32,False,2019-07-07
48,False,2019-07-14
50,False,2019-07-21
49,False,2019-07-28
73,False,2019-08-04
95,False,2019-08-11
32,False,2019-08-18
81,False,2019-08-25
37,False,2019-09-01
44,False,2019-09-08
36,False,2019-09-15
45,False,2019-09-22
45,False,2019-09-29
37,False,2019-10-06
44,False,2019-10-13
36,False,2019-10-20
88,False,2019-10-27
55,False,2019-11-03
74,False,2019-11-10
43,False,2019-11-17
30,False,2019-11-24
42,False,2019-12-01
65,False,2019-12-08
22,False,2019-12-15
37,False,2019-12-22
57,False,2019-12-29
35,False,2020-01-05
21,False,2020-01-12
53,False,2020-01-19
21,False,2020-01-26
90,False,2020-02-02
42,False,2020-02-09
41,False,2020-02-16
27,False,2020-02-23
60,False,2020-03-01
33,False,2020-03-08
65,False,2020-03-15
19,False,2020-03-22
37,False,2020-03-29
51,False,2020-04-05
28,False,2020-04-12
18,False,2020-04-19
36,False,2020-04-26
43,False,2020-05-03
44,False,2020-05-10
57,False,2020-05-17
39,False,2020-05-24
47,False,2020-05-31
48,False,2020-06-07
100,False,2020-06-14
61,False,2020-06-21
72,False,2020-06-28
62,False,2020-07-05
62,False,2020-07-12
56,False,2020-07-19
52,False,2020-07-26
52,False,2020-08-02
51,False,2020-08-09
41,False,2020-08-16
59,False,2020-08-23
58,False,2020-08-30
