value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
100,100,True,/trends/explore?q=/m/04rmb&date=today+12-m&geo=US,/m/04rmb,Memory,Topic
33,33,True,/trends/explore?q=/m/05c60gb&date=today+12-m&geo=US,/m/05c60gb,Computer memory,Topic
30,30,True,/trends/explore?q=/m/054jv6&date=today+12-m&geo=US,/m/054jv6,Memory foam,Topic
29,29,True,/trends/explore?q=/m/01nnqh&date=today+12-m&geo=US,/m/01nnqh,Foam,Topic
17,17,True,/trends/explore?q=/m/01m9s&date=today+12-m&geo=US,/m/01m9s,Computer data storage,Topic
17,17,True,/trends/explore?q=/m/03dg8j&date=today+12-m&geo=US,/m/03dg8j,Mattress,Topic
14,14,True,/trends/explore?q=/m/06f_v&date=today+12-m&geo=US,/m/06f_v,Random-access memory,Computer peripheral class
12,12,True,/trends/explore?q=/m/01f5pq&date=today+12-m&geo=US,/m/01f5pq,Memory card,Computer peripheral class
10,10,True,/trends/explore?q=/m/01j4hd&date=today+12-m&geo=US,/m/01j4hd,Amnesia,Disease
5,5,True,/trends/explore?q=/m/01tthm&date=today+12-m&geo=US,/m/01tthm,SD card,Media format
5,5,True,/trends/explore?q=/m/01m3v&date=today+12-m&geo=US,/m/01m3v,Computer,Topic
4,4,True,/trends/explore?q=/m/034c16&date=today+12-m&geo=US,/m/034c16,Pillow,Topic
4,4,True,/trends/explore?q=/m/06ztwvs&date=today+12-m&geo=US,/m/06ztwvs,Mattress pad,Topic
3,3,True,/trends/explore?q=/m/075d9&date=today+12-m&geo=US,/m/075d9,Short-term memory,Topic
3,3,True,/trends/explore?q=/m/05qfh&date=today+12-m&geo=US,/m/05qfh,Psychology,Academic discipline
3,3,True,/trends/explore?q=/g/113qbb2ct&date=today+12-m&geo=US,/g/113qbb2ct,Brain,Topic
2,2,True,/trends/explore?q=/m/02jn7q&date=today+12-m&geo=US,/m/02jn7q,Update,Topic
2,2,True,/trends/explore?q=/m/0b9c0&date=today+12-m&geo=US,/m/0b9c0,Gel,Topic
1,1,True,/trends/explore?q=/m/0gkyd3x&date=today+12-m&geo=US,/m/0gkyd3x,Memory error,Topic
1,1,True,/trends/explore?q=/g/11dxkv81rp&date=today+12-m&geo=US,/g/11dxkv81rp,Digimon Story: Cyber Sleuth – Hacker's Memory,Video game
1,1,True,/trends/explore?q=/m/04jmtdt&date=today+12-m&geo=US,/m/04jmtdt,DDR4 SDRAM,Topic
1,1,True,/trends/explore?q=/m/0508p&date=today+12-m&geo=US,/m/0508p,Motherboard,Topic
1,1,True,/trends/explore?q=/m/066q8q&date=today+12-m&geo=US,/m/066q8q,Memory,Song by Andrew Lloyd Webber and Trevor Nunn
1,1,True,/trends/explore?q=/g/11fxxn8603&date=today+12-m&geo=US,/g/11fxxn8603,Digimon,Video game series
1,1,True,/trends/explore?q=/g/11c6y__p_d&date=today+12-m&geo=US,/g/11c6y__p_d,Ryzen,Central processing unit
