value,formattedValue,link,topic_mid,topic_title,topic_type
2050,"+2,050%",/trends/explore?q=/m/0g2bc&date=today+12-m&geo=US,/m/0g2bc,Unmanned aerial vehicle,Aircraft type
1500,"+1,500%",/trends/explore?q=/m/05wjw&date=today+12-m&geo=US,/m/05wjw,Pi,Topic
1100,"+1,100%",/trends/explore?q=/m/02vgkp&date=today+12-m&geo=US,/m/02vgkp,Crypto AG,Crypto company
850,+850%,/trends/explore?q=/m/05pjb&date=today+12-m&geo=US,/m/05pjb,Orchids,Plants
300,+300%,/trends/explore?q=/m/01449&date=today+12-m&geo=US,/m/01449,Arbitrage,Topic
250,+250%,/trends/explore?q=/m/03gdz&date=today+12-m&geo=US,/m/03gdz,Hexadecimal,Topic
200,+200%,/trends/explore?q=/m/035l3f&date=today+12-m&geo=US,/m/035l3f,Greed and fear,Topic
170,+170%,/trends/explore?q=/m/03gjzw8&date=today+12-m&geo=US,/m/03gjzw8,eToro,Financial services company
160,+160%,/trends/explore?q=/m/01lm23&date=today+12-m&geo=US,/m/01lm23,Option,Topic
130,+130%,/trends/explore?q=/g/11gc_zyxl_&date=today+12-m&geo=US,/g/11gc_zyxl_,Celsius Network,Company
100,+100%,/trends/explore?q=/g/11g70cz6fh&date=today+12-m&geo=US,/g/11g70cz6fh,MakerDAO,Company
90,+90%,/trends/explore?q=/m/05fy_7&date=today+12-m&geo=US,/m/05fy_7,Index,Economics
90,+90%,/trends/explore?q=/g/11f3w6w2r7&date=today+12-m&geo=US,/g/11f3w6w2r7,Airdrop,Cryptocurrency
80,+80%,/trends/explore?q=/m/01h9n8&date=today+12-m&geo=US,/m/01h9n8,Day trading,Topic
80,+80%,/trends/explore?q=/g/11d_9gxtg8&date=today+12-m&geo=US,/g/11d_9gxtg8,Mona.Co,"Bank in Zug, Switzerland"
70,+70%,/trends/explore?q=/m/010rcq2_&date=today+12-m&geo=US,/m/010rcq2_,Dash,Cryptocurrency
70,+70%,/trends/explore?q=/m/03fk6m&date=today+12-m&geo=US,/m/03fk6m,Fee,Topic
50,+50%,/trends/explore?q=/m/0wr3qjq&date=today+12-m&geo=US,/m/0wr3qjq,Coinbase,Topic
