value,formattedValue,link,topic_mid,topic_title,topic_type
100,+100%,/trends/explore?q=/m/01cdt5&date=today+12-m&geo=US,/m/01cdt5,Shortness of breath,Disease
60,+60%,/trends/explore?q=/m/051wbqj&date=today+12-m&geo=US,/m/051wbqj,Gummy candy,Topic
50,+50%,/trends/explore?q=/m/02np4v&date=today+12-m&geo=US,/m/02np4v,Chest pain,Syndrome
50,+50%,/trends/explore?q=/m/0lyf6&date=today+12-m&geo=US,/m/0lyf6,Breathing,Topic
40,+40%,/trends/explore?q=/m/01b_5g&date=today+12-m&geo=US,/m/01b_5g,Gastroesophageal reflux disease,Medical condition
