value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
100,100,True,/trends/explore?q=/m/06z5s&date=today+12-m&geo=US,/m/06z5s,Suicide,Topic
15,15,True,/trends/explore?q=/m/012dwdjr&date=today+12-m&geo=US,/m/012dwdjr,Suicide Squad,Film
6,6,True,/trends/explore?q=/m/064b_c&date=today+12-m&geo=US,/m/064b_c,Suicide prevention,Topic
5,5,True,/trends/explore?q=/m/01x1q9&date=today+12-m&geo=US,/m/01x1q9,Rate,Topic
5,5,True,/trends/explore?q=/m/0b9qv&date=today+12-m&geo=US,/m/0b9qv,Hotline,Topic
4,4,True,/trends/explore?q=/m/03rfz7&date=today+12-m&geo=US,/m/03rfz7,Crisis hotline,Topic
4,4,True,/trends/explore?q=/m/051_y&date=today+12-m&geo=US,/m/051_y,Murder,Topic
4,4,True,/trends/explore?q=/m/03hj_k&date=today+12-m&geo=US,/m/03hj_k,SuicideGirls,Website
3,3,True,/trends/explore?q=/m/053yl5&date=today+12-m&geo=US,/m/053yl5,Murder–suicide,Topic
2,2,True,/trends/explore?q=/m/0bmhb54&date=today+12-m&geo=US,/m/0bmhb54,Suicide attempt,Topic
2,2,True,/trends/explore?q=/m/03bwz9y&date=today+12-m&geo=US,/m/03bwz9y,Assisted suicide,Topic
2,2,True,/trends/explore?q=/m/0p6vc&date=today+12-m&geo=US,/m/0p6vc,Joker ,Character
2,2,True,/trends/explore?q=/m/0fz196&date=today+12-m&geo=US,/m/0fz196,Jeffrey Epstein,American financier
2,2,True,/trends/explore?q=/m/09b5c3&date=today+12-m&geo=US,/m/09b5c3,Aokigahara,Forest in Japan
2,2,True,/trends/explore?q=/m/02ld8f&date=today+12-m&geo=US,/m/02ld8f,Suicide note,Topic
2,2,True,/trends/explore?q=/m/03f_cb&date=today+12-m&geo=US,/m/03f_cb,Depression,Mood
2,2,True,/trends/explore?q=/m/01t93k&date=today+12-m&geo=US,/m/01t93k,Harley Quinn,Fictional character
1,1,True,/trends/explore?q=/m/08jprp&date=today+12-m&geo=US,/m/08jprp,Suicide watch,Topic
0,<1,True,/trends/explore?q=/m/0pk_9hh&date=today+12-m&geo=US,/m/0pk_9hh,Suicide in the United States,Topic
0,<1,True,/trends/explore?q=/m/0k28hpx&date=today+12-m&geo=US,/m/0k28hpx,National Suicide Prevention Week,Topic
0,<1,True,/trends/explore?q=/m/09g8zlg&date=today+12-m&geo=US,/m/09g8zlg,Aaron Hernandez,American football tight end
0,<1,True,/trends/explore?q=/m/02fybl&date=today+12-m&geo=US,/m/02fybl,Jared Leto,American actor
0,<1,True,/trends/explore?q=/m/0157m&date=today+12-m&geo=US,/m/0157m,Bill Clinton,42nd U.S. President
0,<1,True,/trends/explore?q=/m/02gyy_&date=today+12-m&geo=US,/m/02gyy_,Crisis,Topic
0,<1,True,/trends/explore?q=/m/01s77c&date=today+12-m&geo=US,/m/01s77c,Ribbon,Topic
