value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
100,100,True,/trends/explore?q=/m/0k_9&date=today+12-m&geo=US,/m/0k_9,Anxiety,Emotional disorder
22,22,True,/trends/explore?q=/m/0ftsr&date=today+12-m&geo=US,/m/0ftsr,Anxiety disorder,Mental disorder
9,9,True,/trends/explore?q=/m/0g88b&date=today+12-m&geo=US,/m/0g88b,Panic attack,Physical disorder
9,9,True,/trends/explore?q=/m/027x3&date=today+12-m&geo=US,/m/027x3,Disease,Topic
7,7,True,/trends/explore?q=/m/018l35&date=today+12-m&geo=US,/m/018l35,Pharmaceutical drug,Topic
7,7,True,/trends/explore?q=/m/03f_cb&date=today+12-m&geo=US,/m/03f_cb,Depression,Mood
7,7,True,/trends/explore?q=/m/01b_06&date=today+12-m&geo=US,/m/01b_06,Symptom,Topic
6,6,True,/trends/explore?q=/m/0j276x9&date=today+12-m&geo=US,/m/0j276x9,Cause,Topic
4,4,True,/trends/explore?q=/m/03c1dkx&date=today+12-m&geo=US,/m/03c1dkx,Therapy,Topic
4,4,True,/trends/explore?q=/m/01qfr1&date=today+12-m&geo=US,/m/01qfr1,Social,Topic
4,4,True,/trends/explore?q=/m/0d0g5&date=today+12-m&geo=US,/m/0d0g5,Social anxiety disorder,Disorder
4,4,True,/trends/explore?q=/m/015qdk&date=today+12-m&geo=US,/m/015qdk,Feeling,Topic
3,3,True,/trends/explore?q=/m/0glpkn8&date=today+12-m&geo=US,/m/0glpkn8,Psychological Stress,Illness
3,3,True,/trends/explore?q=/m/01t09s&date=today+12-m&geo=US,/m/01t09s,Panic,Topic
3,3,True,/trends/explore?q=/m/04klcx&date=today+12-m&geo=US,/m/04klcx,Cannabidiol,Topic
3,3,True,/trends/explore?q=/m/06xzh&date=today+12-m&geo=US,/m/06xzh,Sleep,Topic
2,2,True,/trends/explore?q=/m/01k84j&date=today+12-m&geo=US,/m/01k84j,Separation anxiety disorder,Disorder
2,2,True,/trends/explore?q=/m/095_n&date=today+12-m&geo=US,/m/095_n,Heart,Topic
2,2,True,/trends/explore?q=/m/02bft&date=today+12-m&geo=US,/m/02bft,Major depressive disorder,Mental disorder
2,2,True,/trends/explore?q=/m/02zr3h&date=today+12-m&geo=US,/m/02zr3h,Generalized anxiety disorder,Disorder
2,2,True,/trends/explore?q=/m/011vz&date=today+12-m&geo=US,/m/011vz,Anxiolytic,Drug category
2,2,True,/trends/explore?q=/m/03w9g49&date=today+12-m&geo=US,/m/03w9g49,Social anxiety,Topic
2,2,True,/trends/explore?q=/m/0lyf6&date=today+12-m&geo=US,/m/0lyf6,Breathing,Topic
2,2,True,/trends/explore?q=/m/0bbvt4n&date=today+12-m&geo=US,/m/0bbvt4n,Separation anxiety in dogs,Topic
2,2,True,/trends/explore?q=/m/02qbqx&date=today+12-m&geo=US,/m/02qbqx,Medical sign,Topic
