value,formattedValue,link,topic_mid,topic_title,topic_type
60,+60%,/trends/explore?q=/g/11dxkv81rp&date=today+12-m&geo=US,/g/11dxkv81rp,Digimon Story: Cyber Sleuth – Hacker's Memory,Video game
50,+50%,/trends/explore?q=/g/11c6y__p_d&date=today+12-m&geo=US,/g/11c6y__p_d,Ryzen,Central processing unit
50,+50%,/trends/explore?q=/m/0gkyd3x&date=today+12-m&geo=US,/m/0gkyd3x,Memory error,Topic
50,+50%,/trends/explore?q=/g/11fxxn8603&date=today+12-m&geo=US,/g/11fxxn8603,Digimon,Video game series
40,+40%,/trends/explore?q=/m/066q8q&date=today+12-m&geo=US,/m/066q8q,Memory,Song by Andrew Lloyd Webber and Trevor Nunn
