value,formattedValue,link,topic_mid,topic_title,topic_type
1251400,Breakout,/trends/explore?q=/g/11hcz1r4wl&date=today+12-m&geo=US,/g/11hcz1r4wl,Binance,Cryptocurrency exchange company
73250,Breakout,/trends/explore?q=/m/05p0rrx&date=today+12-m&geo=US,/m/05p0rrx,Bitcoin,Currency
52050,Breakout,/trends/explore?q=/g/11f555cn8l&date=today+12-m&geo=US,/g/11f555cn8l,TikTok,Topic
50350,Breakout,/trends/explore?q=/m/0h5wpdf&date=today+12-m&geo=US,/m/0h5wpdf,Mercedes-Benz,Automobile make
46550,Breakout,/trends/explore?q=/m/06q07&date=today+12-m&geo=US,/m/06q07,Sony Corporation,Multinational conglomerate company
42700,Breakout,/trends/explore?q=/m/01spxd&date=today+12-m&geo=US,/m/01spxd,Sony Mobile,Telecommunications company
33600,Breakout,/trends/explore?q=/m/052mx&date=today+12-m&geo=US,/m/052mx,Mercedes-Benz,Luxury vehicles company
25500,Breakout,/trends/explore?q=/m/017yh&date=today+12-m&geo=US,/m/017yh,Bayerische Motoren Werke AG,Luxury vehicles company
25100,Breakout,/trends/explore?q=/m/0h6dlrc&date=today+12-m&geo=US,/m/0h6dlrc,BMW,Automobile make
20600,Breakout,/trends/explore?q=/m/0x2w71c&date=today+12-m&geo=US,/m/0x2w71c,Yamaha,Topic
16750,Breakout,/trends/explore?q=/m/04st9hr&date=today+12-m&geo=US,/m/04st9hr,Apple,Topic
14300,Breakout,/trends/explore?q=/m/01x1s6&date=today+12-m&geo=US,/m/01x1s6,Yamaha Motor Company,Manufacturing company
14050,Breakout,/trends/explore?q=/g/1yprv4_2b&date=today+12-m&geo=US,/g/1yprv4_2b,PT. Yamaha Indonesia Motor Manufacturing,Topic
13600,Breakout,/trends/explore?q=/m/0r4_kmc&date=today+12-m&geo=US,/m/0r4_kmc,PlayStation 4,Video game console
12700,Breakout,/trends/explore?q=/g/11g8nzbbp0&date=today+12-m&geo=US,/g/11g8nzbbp0,Yamaha Motor,Company
6650,Breakout,/trends/explore?q=/m/0k8z&date=today+12-m&geo=US,/m/0k8z,Apple,Technology company
3350,"+3,350%",/trends/explore?q=/m/01dnzs&date=today+12-m&geo=US,/m/01dnzs,Loan,Topic
550,+550%,/trends/explore?q=/m/083br0&date=today+12-m&geo=US,/m/083br0,Job hunting,Topic
