autism,isPartial,date
82,False,2019-08-11
77,False,2019-08-18
77,False,2019-08-25
75,False,2019-09-01
82,False,2019-09-08
89,False,2019-09-15
95,False,2019-09-22
94,False,2019-09-29
88,False,2019-10-06
87,False,2019-10-13
86,False,2019-10-20
85,False,2019-10-27
90,False,2019-11-03
86,False,2019-11-10
87,False,2019-11-17
70,False,2019-11-24
83,False,2019-12-01
82,False,2019-12-08
73,False,2019-12-15
61,False,2019-12-22
68,False,2019-12-29
77,False,2020-01-05
82,False,2020-01-12
86,False,2020-01-19
84,False,2020-01-26
82,False,2020-02-02
84,False,2020-02-09
86,False,2020-02-16
88,False,2020-02-23
89,False,2020-03-01
83,False,2020-03-08
55,False,2020-03-15
58,False,2020-03-22
100,False,2020-03-29
67,False,2020-04-05
64,False,2020-04-12
69,False,2020-04-19
68,False,2020-04-26
72,False,2020-05-03
69,False,2020-05-10
65,False,2020-05-17
68,False,2020-05-24
64,False,2020-05-31
69,False,2020-06-07
70,False,2020-06-14
69,False,2020-06-21
63,False,2020-06-28
67,False,2020-07-05
66,False,2020-07-12
67,False,2020-07-19
73,False,2020-07-26
75,True,2020-08-02
