borderline disorder,isPartial,date
85,False,2019-08-11
81,False,2019-08-18
76,False,2019-08-25
81,False,2019-09-01
75,False,2019-09-08
80,False,2019-09-15
80,False,2019-09-22
85,False,2019-09-29
89,False,2019-10-06
93,False,2019-10-13
88,False,2019-10-20
91,False,2019-10-27
90,False,2019-11-03
93,False,2019-11-10
100,False,2019-11-17
84,False,2019-11-24
100,False,2019-12-01
88,False,2019-12-08
82,False,2019-12-15
78,False,2019-12-22
78,False,2019-12-29
82,False,2020-01-05
89,False,2020-01-12
86,False,2020-01-19
86,False,2020-01-26
89,False,2020-02-02
91,False,2020-02-09
94,False,2020-02-16
95,False,2020-02-23
88,False,2020-03-01
81,False,2020-03-08
64,False,2020-03-15
73,False,2020-03-22
78,False,2020-03-29
85,False,2020-04-05
90,False,2020-04-12
91,False,2020-04-19
98,False,2020-04-26
98,False,2020-05-03
90,False,2020-05-10
90,False,2020-05-17
89,False,2020-05-24
72,False,2020-05-31
89,False,2020-06-07
89,False,2020-06-14
93,False,2020-06-21
85,False,2020-06-28
87,False,2020-07-05
85,False,2020-07-12
91,False,2020-07-19
91,False,2020-07-26
89,True,2020-08-02
