ptsd,isPartial,date
64,False,2019-08-11
63,False,2019-08-18
61,False,2019-08-25
60,False,2019-09-01
68,False,2019-09-08
68,False,2019-09-15
70,False,2019-09-22
72,False,2019-09-29
74,False,2019-10-06
67,False,2019-10-13
77,False,2019-10-20
73,False,2019-10-27
77,False,2019-11-03
85,False,2019-11-10
80,False,2019-11-17
64,False,2019-11-24
77,False,2019-12-01
70,False,2019-12-08
63,False,2019-12-15
53,False,2019-12-22
60,False,2019-12-29
71,False,2020-01-05
72,False,2020-01-12
70,False,2020-01-19
71,False,2020-01-26
72,False,2020-02-02
80,False,2020-02-09
79,False,2020-02-16
100,False,2020-02-23
94,False,2020-03-01
80,False,2020-03-08
60,False,2020-03-15
64,False,2020-03-22
63,False,2020-03-29
69,False,2020-04-05
71,False,2020-04-12
69,False,2020-04-19
72,False,2020-04-26
67,False,2020-05-03
66,False,2020-05-10
65,False,2020-05-17
72,False,2020-05-24
65,False,2020-05-31
68,False,2020-06-07
67,False,2020-06-14
70,False,2020-06-21
68,False,2020-06-28
68,False,2020-07-05
65,False,2020-07-12
68,False,2020-07-19
63,False,2020-07-26
61,True,2020-08-02
