nervous,isPartial,date
90,False,2019-09-08
98,False,2019-09-15
96,False,2019-09-22
91,False,2019-09-29
93,False,2019-10-06
90,False,2019-10-13
97,False,2019-10-20
91,False,2019-10-27
95,False,2019-11-03
88,False,2019-11-10
97,False,2019-11-17
60,False,2019-11-24
92,False,2019-12-01
97,False,2019-12-08
75,False,2019-12-15
40,False,2019-12-22
48,False,2019-12-29
75,False,2020-01-05
82,False,2020-01-12
84,False,2020-01-19
93,False,2020-01-26
95,False,2020-02-02
97,False,2020-02-09
90,False,2020-02-16
100,False,2020-02-23
91,False,2020-03-01
80,False,2020-03-08
60,False,2020-03-15
71,False,2020-03-22
84,False,2020-03-29
86,False,2020-04-05
87,False,2020-04-12
95,False,2020-04-19
98,False,2020-04-26
97,False,2020-05-03
86,False,2020-05-10
81,False,2020-05-17
63,False,2020-05-24
61,False,2020-05-31
61,False,2020-06-07
60,False,2020-06-14
58,False,2020-06-21
56,False,2020-06-28
57,False,2020-07-05
55,False,2020-07-12
59,False,2020-07-19
57,False,2020-07-26
55,False,2020-08-02
56,False,2020-08-09
64,False,2020-08-16
75,False,2020-08-23
89,True,2020-08-30
