tense,isPartial,date
49,False,2019-08-25
53,False,2019-09-01
59,False,2019-09-08
89,False,2019-09-15
70,False,2019-09-22
54,False,2019-09-29
70,False,2019-10-06
63,False,2019-10-13
75,False,2019-10-20
68,False,2019-10-27
73,False,2019-11-03
88,False,2019-11-10
81,False,2019-11-17
53,False,2019-11-24
77,False,2019-12-01
65,False,2019-12-08
57,False,2019-12-15
30,False,2019-12-22
42,False,2019-12-29
63,False,2020-01-05
81,False,2020-01-12
95,False,2020-01-19
100,False,2020-01-26
72,False,2020-02-02
61,False,2020-02-09
80,False,2020-02-16
77,False,2020-02-23
71,False,2020-03-01
69,False,2020-03-08
75,False,2020-03-15
48,False,2020-03-22
62,False,2020-03-29
60,False,2020-04-05
85,False,2020-04-12
94,False,2020-04-19
97,False,2020-04-26
75,False,2020-05-03
81,False,2020-05-10
82,False,2020-05-17
77,False,2020-05-24
99,False,2020-05-31
73,False,2020-06-07
54,False,2020-06-14
39,False,2020-06-21
47,False,2020-06-28
38,False,2020-07-05
40,False,2020-07-12
38,False,2020-07-19
48,False,2020-07-26
43,False,2020-08-02
48,False,2020-08-09
49,True,2020-08-16
