fearful,isPartial,date
55,False,2019-09-08
62,False,2019-09-15
65,False,2019-09-22
60,False,2019-09-29
58,False,2019-10-06
55,False,2019-10-13
59,False,2019-10-20
60,False,2019-10-27
68,False,2019-11-03
59,False,2019-11-10
64,False,2019-11-17
42,False,2019-11-24
59,False,2019-12-01
53,False,2019-12-08
46,False,2019-12-15
47,False,2019-12-22
41,False,2019-12-29
33,False,2020-01-05
60,False,2020-01-12
59,False,2020-01-19
74,False,2020-01-26
62,False,2020-02-02
63,False,2020-02-09
68,False,2020-02-16
81,False,2020-02-23
76,False,2020-03-01
100,False,2020-03-08
87,False,2020-03-15
76,False,2020-03-22
76,False,2020-03-29
86,False,2020-04-05
80,False,2020-04-12
96,False,2020-04-19
92,False,2020-04-26
99,False,2020-05-03
84,False,2020-05-10
64,False,2020-05-17
71,False,2020-05-24
61,False,2020-05-31
55,False,2020-06-07
62,False,2020-06-14
59,False,2020-06-21
62,False,2020-06-28
50,False,2020-07-05
57,False,2020-07-12
56,False,2020-07-19
56,False,2020-07-26
53,False,2020-08-02
56,False,2020-08-09
55,False,2020-08-16
70,False,2020-08-23
41,True,2020-08-30
