scared,isPartial,date
73,False,2019-09-08
65,False,2019-09-15
62,False,2019-09-22
82,False,2019-09-29
75,False,2019-10-06
73,False,2019-10-13
88,False,2019-10-20
83,False,2019-10-27
91,False,2019-11-03
73,False,2019-11-10
70,False,2019-11-17
65,False,2019-11-24
57,False,2019-12-01
54,False,2019-12-08
34,False,2019-12-15
51,False,2019-12-22
69,False,2019-12-29
71,False,2020-01-05
61,False,2020-01-12
81,False,2020-01-19
57,False,2020-01-26
69,False,2020-02-02
53,False,2020-02-09
63,False,2020-02-16
77,False,2020-02-23
59,False,2020-03-01
69,False,2020-03-08
67,False,2020-03-15
100,False,2020-03-22
71,False,2020-03-29
72,False,2020-04-05
90,False,2020-04-12
66,False,2020-04-19
79,False,2020-04-26
96,False,2020-05-03
84,False,2020-05-10
71,False,2020-05-17
74,False,2020-05-24
62,False,2020-05-31
44,False,2020-06-07
74,False,2020-06-14
73,False,2020-06-21
61,False,2020-06-28
77,False,2020-07-05
87,False,2020-07-12
73,False,2020-07-19
52,False,2020-07-26
80,False,2020-08-02
67,False,2020-08-09
81,False,2020-08-16
91,False,2020-08-23
55,True,2020-08-30
