worried,isPartial,date
24,False,2019-09-08
27,False,2019-09-15
44,False,2019-09-22
25,False,2019-09-29
23,False,2019-10-06
15,False,2019-10-13
29,False,2019-10-20
25,False,2019-10-27
31,False,2019-11-03
24,False,2019-11-10
35,False,2019-11-17
27,False,2019-11-24
19,False,2019-12-01
24,False,2019-12-08
19,False,2019-12-15
16,False,2019-12-22
15,False,2019-12-29
31,False,2020-01-05
34,False,2020-01-12
55,False,2020-01-19
70,False,2020-01-26
41,False,2020-02-02
47,False,2020-02-09
27,False,2020-02-16
46,False,2020-02-23
60,False,2020-03-01
100,False,2020-03-08
73,False,2020-03-15
48,False,2020-03-22
36,False,2020-03-29
37,False,2020-04-05
38,False,2020-04-12
40,False,2020-04-19
40,False,2020-04-26
47,False,2020-05-03
33,False,2020-05-10
17,False,2020-05-17
24,False,2020-05-24
32,False,2020-05-31
15,False,2020-06-07
27,False,2020-06-14
28,False,2020-06-21
35,False,2020-06-28
29,False,2020-07-05
38,False,2020-07-12
36,False,2020-07-19
29,False,2020-07-26
47,False,2020-08-02
29,False,2020-08-09
38,False,2020-08-16
50,False,2020-08-23
28,True,2020-08-30
