how to overdose,isPartial,date
31,False,2019-09-22
25,False,2019-09-29
31,False,2019-10-06
37,False,2019-10-13
18,False,2019-10-20
30,False,2019-10-27
18,False,2019-11-03
59,False,2019-11-10
42,False,2019-11-17
31,False,2019-11-24
18,False,2019-12-01
24,False,2019-12-08
48,False,2019-12-15
63,False,2019-12-22
41,False,2019-12-29
34,False,2020-01-05
22,False,2020-01-12
62,False,2020-01-19
38,False,2020-01-26
33,False,2020-02-02
77,False,2020-02-09
59,False,2020-02-16
79,False,2020-02-23
37,False,2020-03-01
37,False,2020-03-08
32,False,2020-03-15
37,False,2020-03-22
55,False,2020-03-29
46,False,2020-04-05
30,False,2020-04-12
30,False,2020-04-19
46,False,2020-04-26
45,False,2020-05-03
41,False,2020-05-10
20,False,2020-05-17
36,False,2020-05-24
36,False,2020-05-31
47,False,2020-06-07
27,False,2020-06-14
44,False,2020-06-21
39,False,2020-06-28
45,False,2020-07-05
23,False,2020-07-12
17,False,2020-07-19
52,False,2020-07-26
34,False,2020-08-02
40,False,2020-08-09
46,False,2020-08-16
33,False,2020-08-23
33,False,2020-08-30
50,False,2020-09-06
100,True,2020-09-13
