how to kill yourself -ark -minecraft -rust,isPartial,date
76,False,2019-01-06
72,False,2019-01-13
62,False,2019-01-20
72,False,2019-01-27
86,False,2019-02-03
78,False,2019-02-10
95,False,2019-02-17
81,False,2019-02-24
82,False,2019-03-03
66,False,2019-03-10
81,False,2019-03-17
72,False,2019-03-24
60,False,2019-03-31
79,False,2019-04-07
69,False,2019-04-14
81,False,2019-04-21
83,False,2019-04-28
64,False,2019-05-05
81,False,2019-05-12
68,False,2019-05-19
79,False,2019-05-26
75,False,2019-06-02
76,False,2019-06-09
65,False,2019-06-16
81,False,2019-06-23
74,False,2019-06-30
66,False,2019-07-07
53,False,2019-07-14
61,False,2019-07-21
69,False,2019-07-28
66,False,2019-08-04
67,False,2019-08-11
64,False,2019-08-18
69,False,2019-08-25
67,False,2019-09-01
69,False,2019-09-08
74,False,2019-09-15
85,False,2019-09-22
75,False,2019-09-29
79,False,2019-10-06
69,False,2019-10-13
68,False,2019-10-20
74,False,2019-10-27
76,False,2019-11-03
64,False,2019-11-10
73,False,2019-11-17
74,False,2019-11-24
71,False,2019-12-01
65,False,2019-12-08
66,False,2019-12-15
79,False,2019-12-22
63,False,2019-12-29
78,False,2020-01-05
63,False,2020-01-12
80,False,2020-01-19
63,False,2020-01-26
69,False,2020-02-02
61,False,2020-02-09
72,False,2020-02-16
84,False,2020-02-23
72,False,2020-03-01
85,False,2020-03-08
64,False,2020-03-15
64,False,2020-03-22
64,False,2020-03-29
74,False,2020-04-05
78,False,2020-04-12
76,False,2020-04-19
58,False,2020-04-26
79,False,2020-05-03
65,False,2020-05-10
68,False,2020-05-17
67,False,2020-05-24
68,False,2020-05-31
75,False,2020-06-07
65,False,2020-06-14
71,False,2020-06-21
82,False,2020-06-28
59,False,2020-07-05
65,False,2020-07-12
100,False,2020-07-19
78,False,2020-07-26
58,False,2020-08-02
77,False,2020-08-09
81,False,2020-08-16
77,False,2020-08-23
87,False,2020-08-30
