how to suicide,isPartial,date
35,False,2019-01-06
61,False,2019-01-13
70,False,2019-01-20
53,False,2019-01-27
60,False,2019-02-03
52,False,2019-02-10
100,False,2019-02-17
74,False,2019-02-24
93,False,2019-03-03
70,False,2019-03-10
63,False,2019-03-17
92,False,2019-03-24
47,False,2019-03-31
48,False,2019-04-07
80,False,2019-04-14
56,False,2019-04-21
59,False,2019-04-28
81,False,2019-05-05
49,False,2019-05-12
50,False,2019-05-19
25,False,2019-05-26
99,False,2019-06-02
82,False,2019-06-09
25,False,2019-06-16
0,False,2019-06-23
34,False,2019-06-30
50,False,2019-07-07
25,False,2019-07-14
34,False,2019-07-21
37,False,2019-07-28
36,False,2019-08-04
47,False,2019-08-11
69,False,2019-08-18
23,False,2019-08-25
37,False,2019-09-01
80,False,2019-09-08
55,False,2019-09-15
44,False,2019-09-22
30,False,2019-09-29
46,False,2019-10-06
30,False,2019-10-13
51,False,2019-10-20
44,False,2019-10-27
43,False,2019-11-03
36,False,2019-11-10
32,False,2019-11-17
44,False,2019-11-24
0,False,2019-12-01
37,False,2019-12-08
30,False,2019-12-15
47,False,2019-12-22
91,False,2019-12-29
42,False,2020-01-05
40,False,2020-01-12
72,False,2020-01-19
61,False,2020-01-26
27,False,2020-02-02
20,False,2020-02-09
40,False,2020-02-16
85,False,2020-02-23
46,False,2020-03-01
39,False,2020-03-08
38,False,2020-03-15
63,False,2020-03-22
54,False,2020-03-29
37,False,2020-04-05
63,False,2020-04-12
42,False,2020-04-19
42,False,2020-04-26
61,False,2020-05-03
28,False,2020-05-10
57,False,2020-05-17
57,False,2020-05-24
43,False,2020-05-31
38,False,2020-06-07
63,False,2020-06-14
52,False,2020-06-21
33,False,2020-06-28
27,False,2020-07-05
30,False,2020-07-12
34,False,2020-07-19
20,False,2020-07-26
38,False,2020-08-02
38,False,2020-08-09
25,False,2020-08-16
37,False,2020-08-23
47,False,2020-08-30
