how to commit suicide,isPartial,date
79,False,2015-09-20
68,False,2015-09-27
72,False,2015-10-04
63,False,2015-10-11
70,False,2015-10-18
74,False,2015-10-25
87,False,2015-11-01
69,False,2015-11-08
64,False,2015-11-15
69,False,2015-11-22
62,False,2015-11-29
72,False,2015-12-06
74,False,2015-12-13
51,False,2015-12-20
54,False,2015-12-27
62,False,2016-01-03
49,False,2016-01-10
57,False,2016-01-17
51,False,2016-01-24
49,False,2016-01-31
63,False,2016-02-07
71,False,2016-02-14
74,False,2016-02-21
86,False,2016-02-28
65,False,2016-03-06
67,False,2016-03-13
65,False,2016-03-20
81,False,2016-03-27
49,False,2016-04-03
59,False,2016-04-10
63,False,2016-04-17
68,False,2016-04-24
53,False,2016-05-01
72,False,2016-05-08
78,False,2016-05-15
52,False,2016-05-22
57,False,2016-05-29
44,False,2016-06-05
60,False,2016-06-12
54,False,2016-06-19
34,False,2016-06-26
38,False,2016-07-03
64,False,2016-07-10
49,False,2016-07-17
60,False,2016-07-24
67,False,2016-07-31
39,False,2016-08-07
43,False,2016-08-14
45,False,2016-08-21
41,False,2016-08-28
69,False,2016-09-04
54,False,2016-09-11
72,False,2016-09-18
54,False,2016-09-25
58,False,2016-10-02
64,False,2016-10-09
47,False,2016-10-16
56,False,2016-10-23
62,False,2016-10-30
66,False,2016-11-06
77,False,2016-11-13
60,False,2016-11-20
63,False,2016-11-27
71,False,2016-12-04
90,False,2016-12-11
72,False,2016-12-18
50,False,2016-12-25
53,False,2017-01-01
67,False,2017-01-08
68,False,2017-01-15
64,False,2017-01-22
76,False,2017-01-29
71,False,2017-02-05
75,False,2017-02-12
51,False,2017-02-19
64,False,2017-02-26
61,False,2017-03-05
69,False,2017-03-12
79,False,2017-03-19
52,False,2017-03-26
83,False,2017-04-02
69,False,2017-04-09
85,False,2017-04-16
75,False,2017-04-23
84,False,2017-04-30
89,False,2017-05-07
93,False,2017-05-14
82,False,2017-05-21
78,False,2017-05-28
62,False,2017-06-04
56,False,2017-06-11
51,False,2017-06-18
52,False,2017-06-25
65,False,2017-07-02
51,False,2017-07-09
74,False,2017-07-16
65,False,2017-07-23
63,False,2017-07-30
46,False,2017-08-06
39,False,2017-08-13
40,False,2017-08-20
54,False,2017-08-27
52,False,2017-09-03
57,False,2017-09-10
48,False,2017-09-17
45,False,2017-09-24
65,False,2017-10-01
55,False,2017-10-08
73,False,2017-10-15
63,False,2017-10-22
57,False,2017-10-29
64,False,2017-11-05
75,False,2017-11-12
44,False,2017-11-19
61,False,2017-11-26
78,False,2017-12-03
59,False,2017-12-10
61,False,2017-12-17
47,False,2017-12-24
39,False,2017-12-31
47,False,2018-01-07
47,False,2018-01-14
61,False,2018-01-21
49,False,2018-01-28
67,False,2018-02-04
66,False,2018-02-11
49,False,2018-02-18
60,False,2018-02-25
53,False,2018-03-04
55,False,2018-03-11
69,False,2018-03-18
61,False,2018-03-25
58,False,2018-04-01
58,False,2018-04-08
57,False,2018-04-15
44,False,2018-04-22
54,False,2018-04-29
63,False,2018-05-06
57,False,2018-05-13
52,False,2018-05-20
52,False,2018-05-27
100,False,2018-06-03
100,False,2018-06-10
50,False,2018-06-17
56,False,2018-06-24
63,False,2018-07-01
41,False,2018-07-08
50,False,2018-07-15
45,False,2018-07-22
47,False,2018-07-29
43,False,2018-08-05
57,False,2018-08-12
48,False,2018-08-19
49,False,2018-08-26
62,False,2018-09-02
52,False,2018-09-09
69,False,2018-09-16
61,False,2018-09-23
60,False,2018-09-30
66,False,2018-10-07
49,False,2018-10-14
46,False,2018-10-21
63,False,2018-10-28
57,False,2018-11-04
52,False,2018-11-11
58,False,2018-11-18
63,False,2018-11-25
62,False,2018-12-02
63,False,2018-12-09
49,False,2018-12-16
58,False,2018-12-23
38,False,2018-12-30
49,False,2019-01-06
59,False,2019-01-13
49,False,2019-01-20
49,False,2019-01-27
60,False,2019-02-03
63,False,2019-02-10
61,False,2019-02-17
90,False,2019-02-24
66,False,2019-03-03
48,False,2019-03-10
58,False,2019-03-17
68,False,2019-03-24
45,False,2019-03-31
63,False,2019-04-07
43,False,2019-04-14
52,False,2019-04-21
47,False,2019-04-28
38,False,2019-05-05
54,False,2019-05-12
58,False,2019-05-19
37,False,2019-05-26
43,False,2019-06-02
42,False,2019-06-09
45,False,2019-06-16
50,False,2019-06-23
27,False,2019-06-30
46,False,2019-07-07
35,False,2019-07-14
23,False,2019-07-21
52,False,2019-07-28
38,False,2019-08-04
55,False,2019-08-11
63,False,2019-08-18
38,False,2019-08-25
47,False,2019-09-01
60,False,2019-09-08
43,False,2019-09-15
49,False,2019-09-22
63,False,2019-09-29
58,False,2019-10-06
56,False,2019-10-13
68,False,2019-10-20
47,False,2019-10-27
68,False,2019-11-03
55,False,2019-11-10
37,False,2019-11-17
56,False,2019-11-24
35,False,2019-12-01
62,False,2019-12-08
42,False,2019-12-15
51,False,2019-12-22
50,False,2019-12-29
41,False,2020-01-05
49,False,2020-01-12
53,False,2020-01-19
66,False,2020-01-26
49,False,2020-02-02
55,False,2020-02-09
50,False,2020-02-16
58,False,2020-02-23
64,False,2020-03-01
59,False,2020-03-08
59,False,2020-03-15
41,False,2020-03-22
37,False,2020-03-29
39,False,2020-04-05
41,False,2020-04-12
44,False,2020-04-19
68,False,2020-04-26
51,False,2020-05-03
62,False,2020-05-10
51,False,2020-05-17
49,False,2020-05-24
53,False,2020-05-31
43,False,2020-06-07
52,False,2020-06-14
68,False,2020-06-21
51,False,2020-06-28
60,False,2020-07-05
55,False,2020-07-12
48,False,2020-07-19
48,False,2020-07-26
46,False,2020-08-02
45,False,2020-08-09
37,False,2020-08-16
46,False,2020-08-23
43,False,2020-08-30
53,False,2020-09-06
44,True,2020-09-13
