baby blues,isPartial,date
70,False,2019-09-01
90,False,2019-09-08
64,False,2019-09-15
73,False,2019-09-22
70,False,2019-09-29
85,False,2019-10-06
71,False,2019-10-13
79,False,2019-10-20
62,False,2019-10-27
69,False,2019-11-03
75,False,2019-11-10
70,False,2019-11-17
84,False,2019-11-24
81,False,2019-12-01
76,False,2019-12-08
77,False,2019-12-15
80,False,2019-12-22
73,False,2019-12-29
71,False,2020-01-05
66,False,2020-01-12
79,False,2020-01-19
77,False,2020-01-26
79,False,2020-02-02
74,False,2020-02-09
64,False,2020-02-16
80,False,2020-02-23
78,False,2020-03-01
63,False,2020-03-08
58,False,2020-03-15
60,False,2020-03-22
65,False,2020-03-29
69,False,2020-04-05
79,False,2020-04-12
62,False,2020-04-19
58,False,2020-04-26
86,False,2020-05-03
77,False,2020-05-10
75,False,2020-05-17
80,False,2020-05-24
62,False,2020-05-31
100,False,2020-06-07
67,False,2020-06-14
79,False,2020-06-21
82,False,2020-06-28
79,False,2020-07-05
62,False,2020-07-12
78,False,2020-07-19
80,False,2020-07-26
75,False,2020-08-02
68,False,2020-08-09
66,False,2020-08-16
80,True,2020-08-23
