how to overdose,isPartial,date
42,False,2019-01-06
92,False,2019-01-13
62,False,2019-01-20
45,False,2019-01-27
45,False,2019-02-03
45,False,2019-02-10
89,False,2019-02-17
69,False,2019-02-24
93,False,2019-03-03
42,False,2019-03-10
53,False,2019-03-17
61,False,2019-03-24
79,False,2019-03-31
32,False,2019-04-07
32,False,2019-04-14
64,False,2019-04-21
48,False,2019-04-28
65,False,2019-05-05
65,False,2019-05-12
33,False,2019-05-19
34,False,2019-05-26
50,False,2019-06-02
98,False,2019-06-09
89,False,2019-06-16
33,False,2019-06-23
51,False,2019-06-30
67,False,2019-07-07
67,False,2019-07-14
100,False,2019-07-21
33,False,2019-07-28
81,False,2019-08-04
94,False,2019-08-11
72,False,2019-08-18
30,False,2019-08-25
69,False,2019-09-01
58,False,2019-09-08
73,False,2019-09-15
59,False,2019-09-22
60,False,2019-09-29
61,False,2019-10-06
30,False,2019-10-13
73,False,2019-10-20
59,False,2019-10-27
57,False,2019-11-03
57,False,2019-11-10
47,False,2019-11-17
58,False,2019-11-24
57,False,2019-12-01
29,False,2019-12-08
60,False,2019-12-15
79,False,2019-12-22
45,False,2019-12-29
42,False,2020-01-05
71,False,2020-01-12
46,False,2020-01-19
68,False,2020-01-26
27,False,2020-02-02
54,False,2020-02-09
54,False,2020-02-16
52,False,2020-02-23
43,False,2020-03-01
52,False,2020-03-08
26,False,2020-03-15
25,False,2020-03-22
72,False,2020-03-29
25,False,2020-04-05
61,False,2020-04-12
40,False,2020-04-19
48,False,2020-04-26
73,False,2020-05-03
37,False,2020-05-10
25,False,2020-05-17
51,False,2020-05-24
24,False,2020-05-31
50,False,2020-06-07
38,False,2020-06-14
26,False,2020-06-21
26,False,2020-06-28
54,False,2020-07-05
63,False,2020-07-12
55,False,2020-07-19
67,False,2020-07-26
34,False,2020-08-02
50,False,2020-08-09
25,False,2020-08-16
25,False,2020-08-23
25,False,2020-08-30
