crisis text line,isPartial,date
21,False,2019-09-01
44,False,2019-09-08
24,False,2019-09-15
30,False,2019-09-22
28,False,2019-09-29
20,False,2019-10-06
27,False,2019-10-13
34,False,2019-10-20
26,False,2019-10-27
24,False,2019-11-03
43,False,2019-11-10
32,False,2019-11-17
19,False,2019-11-24
21,False,2019-12-01
27,False,2019-12-08
28,False,2019-12-15
25,False,2019-12-22
23,False,2019-12-29
19,False,2020-01-05
30,False,2020-01-12
26,False,2020-01-19
26,False,2020-01-26
23,False,2020-02-02
26,False,2020-02-09
32,False,2020-02-16
27,False,2020-02-23
25,False,2020-03-01
28,False,2020-03-08
43,False,2020-03-15
55,False,2020-03-22
55,False,2020-03-29
53,False,2020-04-05
49,False,2020-04-12
51,False,2020-04-19
55,False,2020-04-26
62,False,2020-05-03
54,False,2020-05-10
58,False,2020-05-17
64,False,2020-05-24
62,False,2020-05-31
100,False,2020-06-07
77,False,2020-06-14
41,False,2020-06-21
46,False,2020-06-28
39,False,2020-07-05
38,False,2020-07-12
36,False,2020-07-19
33,False,2020-07-26
29,False,2020-08-02
26,False,2020-08-09
31,False,2020-08-16
25,True,2020-08-23
