hallucinate,isPartial,date
63,False,2019-09-08
48,False,2019-09-15
32,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
33,False,2019-10-13
32,False,2019-10-20
33,False,2019-10-27
62,False,2019-11-03
47,False,2019-11-10
62,False,2019-11-17
0,False,2019-11-24
62,False,2019-12-01
32,False,2019-12-08
44,False,2019-12-15
35,False,2019-12-22
33,False,2019-12-29
47,False,2020-01-05
44,False,2020-01-12
46,False,2020-01-19
30,False,2020-01-26
30,False,2020-02-02
45,False,2020-02-09
59,False,2020-02-16
48,False,2020-02-23
28,False,2020-03-01
28,False,2020-03-08
0,False,2020-03-15
41,False,2020-03-22
27,False,2020-03-29
41,False,2020-04-05
44,False,2020-04-12
52,False,2020-04-19
40,False,2020-04-26
27,False,2020-05-03
27,False,2020-05-10
28,False,2020-05-17
38,False,2020-05-24
54,False,2020-05-31
55,False,2020-06-07
28,False,2020-06-14
86,False,2020-06-21
58,False,2020-06-28
30,False,2020-07-05
30,False,2020-07-12
45,False,2020-07-19
30,False,2020-07-26
0,False,2020-08-02
56,False,2020-08-09
82,False,2020-08-16
41,False,2020-08-23
100,True,2020-08-30
