paranoid,isPartial,date
57,False,2019-08-25
48,False,2019-09-01
63,False,2019-09-08
47,False,2019-09-15
31,False,2019-09-22
57,False,2019-09-29
92,False,2019-10-06
65,False,2019-10-13
24,False,2019-10-20
100,False,2019-10-27
89,False,2019-11-03
54,False,2019-11-10
62,False,2019-11-17
64,False,2019-11-24
84,False,2019-12-01
40,False,2019-12-08
80,False,2019-12-15
61,False,2019-12-22
25,False,2019-12-29
38,False,2020-01-05
36,False,2020-01-12
61,False,2020-01-19
76,False,2020-01-26
60,False,2020-02-02
46,False,2020-02-09
69,False,2020-02-16
58,False,2020-02-23
85,False,2020-03-01
78,False,2020-03-08
64,False,2020-03-15
75,False,2020-03-22
27,False,2020-03-29
77,False,2020-04-05
89,False,2020-04-12
59,False,2020-04-19
72,False,2020-04-26
54,False,2020-05-03
75,False,2020-05-10
54,False,2020-05-17
68,False,2020-05-24
65,False,2020-05-31
59,False,2020-06-07
76,False,2020-06-14
50,False,2020-06-21
37,False,2020-06-28
81,False,2020-07-05
46,False,2020-07-12
53,False,2020-07-19
53,False,2020-07-26
59,False,2020-08-02
61,False,2020-08-09
65,True,2020-08-16
