xanax,isPartial,date
87,False,2019-08-11
85,False,2019-08-18
86,False,2019-08-25
80,False,2019-09-01
82,False,2019-09-08
83,False,2019-09-15
90,False,2019-09-22
87,False,2019-09-29
84,False,2019-10-06
86,False,2019-10-13
79,False,2019-10-20
100,False,2019-10-27
85,False,2019-11-03
84,False,2019-11-10
89,False,2019-11-17
85,False,2019-11-24
81,False,2019-12-01
87,False,2019-12-08
82,False,2019-12-15
88,False,2019-12-22
89,False,2019-12-29
87,False,2020-01-05
86,False,2020-01-12
85,False,2020-01-19
85,False,2020-01-26
82,False,2020-02-02
86,False,2020-02-09
89,False,2020-02-16
87,False,2020-02-23
79,False,2020-03-01
80,False,2020-03-08
82,False,2020-03-15
85,False,2020-03-22
80,False,2020-03-29
82,False,2020-04-05
80,False,2020-04-12
78,False,2020-04-19
78,False,2020-04-26
78,False,2020-05-03
84,False,2020-05-10
80,False,2020-05-17
75,False,2020-05-24
71,False,2020-05-31
76,False,2020-06-07
82,False,2020-06-14
76,False,2020-06-21
83,False,2020-06-28
79,False,2020-07-05
79,False,2020-07-12
79,False,2020-07-19
80,False,2020-07-26
77,True,2020-08-02
