benzo,isPartial,date
61,False,2019-08-11
64,False,2019-08-18
59,False,2019-08-25
56,False,2019-09-01
56,False,2019-09-08
64,False,2019-09-15
59,False,2019-09-22
93,False,2019-09-29
100,False,2019-10-06
92,False,2019-10-13
69,False,2019-10-20
69,False,2019-10-27
64,False,2019-11-03
67,False,2019-11-10
67,False,2019-11-17
58,False,2019-11-24
63,False,2019-12-01
67,False,2019-12-08
57,False,2019-12-15
58,False,2019-12-22
58,False,2019-12-29
62,False,2020-01-05
58,False,2020-01-12
71,False,2020-01-19
72,False,2020-01-26
64,False,2020-02-02
79,False,2020-02-09
71,False,2020-02-16
64,False,2020-02-23
62,False,2020-03-01
55,False,2020-03-08
52,False,2020-03-15
45,False,2020-03-22
44,False,2020-03-29
54,False,2020-04-05
52,False,2020-04-12
62,False,2020-04-19
54,False,2020-04-26
52,False,2020-05-03
56,False,2020-05-10
52,False,2020-05-17
47,False,2020-05-24
56,False,2020-05-31
56,False,2020-06-07
61,False,2020-06-14
60,False,2020-06-21
57,False,2020-06-28
53,False,2020-07-05
54,False,2020-07-12
62,False,2020-07-19
64,False,2020-07-26
58,True,2020-08-02
