what is depression -recession -great -economic,isPartial,date
45,False,2019-01-06
65,False,2019-01-13
52,False,2019-01-20
65,False,2019-01-27
48,False,2019-02-03
60,False,2019-02-10
52,False,2019-02-17
46,False,2019-02-24
39,False,2019-03-03
58,False,2019-03-10
47,False,2019-03-17
76,False,2019-03-24
47,False,2019-03-31
67,False,2019-04-07
54,False,2019-04-14
47,False,2019-04-21
69,False,2019-04-28
61,False,2019-05-05
40,False,2019-05-12
40,False,2019-05-19
40,False,2019-05-26
83,False,2019-06-02
44,False,2019-06-09
48,False,2019-06-16
35,False,2019-06-23
18,False,2019-06-30
38,False,2019-07-07
54,False,2019-07-14
60,False,2019-07-21
43,False,2019-07-28
34,False,2019-08-04
38,False,2019-08-11
54,False,2019-08-18
27,False,2019-08-25
58,False,2019-09-01
83,False,2019-09-08
76,False,2019-09-15
65,False,2019-09-22
84,False,2019-09-29
51,False,2019-10-06
43,False,2019-10-13
66,False,2019-10-20
51,False,2019-10-27
50,False,2019-11-03
46,False,2019-11-10
54,False,2019-11-17
48,False,2019-11-24
68,False,2019-12-01
62,False,2019-12-08
46,False,2019-12-15
24,False,2019-12-22
30,False,2019-12-29
33,False,2020-01-05
42,False,2020-01-12
44,False,2020-01-19
42,False,2020-01-26
73,False,2020-02-02
60,False,2020-02-09
72,False,2020-02-16
68,False,2020-02-23
95,False,2020-03-01
81,False,2020-03-08
48,False,2020-03-15
54,False,2020-03-22
100,False,2020-03-29
65,False,2020-04-05
96,False,2020-04-12
83,False,2020-04-19
98,False,2020-04-26
52,False,2020-05-03
79,False,2020-05-10
59,False,2020-05-17
60,False,2020-05-24
66,False,2020-05-31
66,False,2020-06-07
76,False,2020-06-14
56,False,2020-06-21
64,False,2020-06-28
54,False,2020-07-05
76,False,2020-07-12
47,False,2020-07-19
51,False,2020-07-26
51,False,2020-08-02
70,False,2020-08-09
81,False,2020-08-16
60,False,2020-08-23
63,False,2020-08-30
