signs of depression,isPartial,date
83,False,2019-01-06
80,False,2019-01-13
85,False,2019-01-20
89,False,2019-01-27
94,False,2019-02-03
90,False,2019-02-10
88,False,2019-02-17
94,False,2019-02-24
93,False,2019-03-03
88,False,2019-03-10
92,False,2019-03-17
97,False,2019-03-24
87,False,2019-03-31
83,False,2019-04-07
89,False,2019-04-14
88,False,2019-04-21
83,False,2019-04-28
75,False,2019-05-05
82,False,2019-05-12
86,False,2019-05-19
81,False,2019-05-26
70,False,2019-06-02
73,False,2019-06-09
77,False,2019-06-16
73,False,2019-06-23
79,False,2019-06-30
71,False,2019-07-07
74,False,2019-07-14
82,False,2019-07-21
76,False,2019-07-28
75,False,2019-08-04
78,False,2019-08-11
68,False,2019-08-18
76,False,2019-08-25
73,False,2019-09-01
82,False,2019-09-08
82,False,2019-09-15
79,False,2019-09-22
86,False,2019-09-29
82,False,2019-10-06
100,False,2019-10-13
97,False,2019-10-20
77,False,2019-10-27
94,False,2019-11-03
77,False,2019-11-10
95,False,2019-11-17
69,False,2019-11-24
87,False,2019-12-01
87,False,2019-12-08
70,False,2019-12-15
70,False,2019-12-22
82,False,2019-12-29
80,False,2020-01-05
85,False,2020-01-12
78,False,2020-01-19
78,False,2020-01-26
84,False,2020-02-02
86,False,2020-02-09
94,False,2020-02-16
88,False,2020-02-23
89,False,2020-03-01
73,False,2020-03-08
55,False,2020-03-15
61,False,2020-03-22
74,False,2020-03-29
72,False,2020-04-05
67,False,2020-04-12
81,False,2020-04-19
71,False,2020-04-26
74,False,2020-05-03
68,False,2020-05-10
76,False,2020-05-17
78,False,2020-05-24
73,False,2020-05-31
72,False,2020-06-07
76,False,2020-06-14
83,False,2020-06-21
77,False,2020-06-28
76,False,2020-07-05
76,False,2020-07-12
91,False,2020-07-19
78,False,2020-07-26
81,False,2020-08-02
71,False,2020-08-09
74,False,2020-08-16
66,False,2020-08-23
74,False,2020-08-30
