postpartum depression + postnatal depression + post natal depression,isPartial,date
49,False,2019-01-06
18,False,2019-01-13
49,False,2019-01-20
42,False,2019-01-27
53,False,2019-02-03
30,False,2019-02-10
35,False,2019-02-17
35,False,2019-02-24
37,False,2019-03-03
43,False,2019-03-10
63,False,2019-03-17
43,False,2019-03-24
38,False,2019-03-31
19,False,2019-04-07
57,False,2019-04-14
44,False,2019-04-21
44,False,2019-04-28
58,False,2019-05-05
68,False,2019-05-12
50,False,2019-05-19
27,False,2019-05-26
72,False,2019-06-02
52,False,2019-06-09
20,False,2019-06-16
39,False,2019-06-23
27,False,2019-06-30
30,False,2019-07-07
53,False,2019-07-14
100,False,2019-07-21
53,False,2019-07-28
29,False,2019-08-04
28,False,2019-08-11
43,False,2019-08-18
36,False,2019-08-25
41,False,2019-09-01
52,False,2019-09-08
61,False,2019-09-15
53,False,2019-09-22
53,False,2019-09-29
28,False,2019-10-06
24,False,2019-10-13
46,False,2019-10-20
35,False,2019-10-27
63,False,2019-11-03
86,False,2019-11-10
34,False,2019-11-17
46,False,2019-11-24
45,False,2019-12-01
52,False,2019-12-08
47,False,2019-12-15
28,False,2019-12-22
18,False,2019-12-29
17,False,2020-01-05
37,False,2020-01-12
61,False,2020-01-19
54,False,2020-01-26
57,False,2020-02-02
54,False,2020-02-09
21,False,2020-02-16
21,False,2020-02-23
31,False,2020-03-01
39,False,2020-03-08
25,False,2020-03-15
25,False,2020-03-22
29,False,2020-03-29
44,False,2020-04-05
67,False,2020-04-12
19,False,2020-04-19
22,False,2020-04-26
19,False,2020-05-03
49,False,2020-05-10
40,False,2020-05-17
23,False,2020-05-24
29,False,2020-05-31
35,False,2020-06-07
40,False,2020-06-14
62,False,2020-06-21
48,False,2020-06-28
43,False,2020-07-05
32,False,2020-07-12
49,False,2020-07-19
59,False,2020-07-26
46,False,2020-08-02
25,False,2020-08-09
60,False,2020-08-16
25,False,2020-08-23
69,False,2020-08-30
