depressed,isPartial,date
39,False,2019-08-25
39,False,2019-09-01
62,False,2019-09-08
62,False,2019-09-15
58,False,2019-09-22
67,False,2019-09-29
39,False,2019-10-06
59,False,2019-10-13
97,False,2019-10-20
58,False,2019-10-27
77,False,2019-11-03
71,False,2019-11-10
57,False,2019-11-17
76,False,2019-11-24
85,False,2019-12-01
44,False,2019-12-08
59,False,2019-12-15
55,False,2019-12-22
61,False,2019-12-29
57,False,2020-01-05
54,False,2020-01-12
64,False,2020-01-19
100,False,2020-01-26
55,False,2020-02-02
64,False,2020-02-09
54,False,2020-02-16
79,False,2020-02-23
90,False,2020-03-01
49,False,2020-03-08
58,False,2020-03-15
47,False,2020-03-22
41,False,2020-03-29
62,False,2020-04-05
39,False,2020-04-12
48,False,2020-04-19
53,False,2020-04-26
40,False,2020-05-03
58,False,2020-05-10
43,False,2020-05-17
67,False,2020-05-24
62,False,2020-05-31
80,False,2020-06-07
55,False,2020-06-14
52,False,2020-06-21
48,False,2020-06-28
82,False,2020-07-05
42,False,2020-07-12
81,False,2020-07-19
58,False,2020-07-26
44,False,2020-08-02
53,False,2020-08-09
37,True,2020-08-16
