dysphoric,isPartial,date
23,False,2019-08-25
23,False,2019-09-01
23,False,2019-09-08
23,False,2019-09-15
70,False,2019-09-22
23,False,2019-09-29
23,False,2019-10-06
46,False,2019-10-13
61,False,2019-10-20
23,False,2019-10-27
22,False,2019-11-03
89,False,2019-11-10
23,False,2019-11-17
59,False,2019-11-24
52,False,2019-12-01
45,False,2019-12-08
68,False,2019-12-15
24,False,2019-12-22
45,False,2019-12-29
29,False,2020-01-05
27,False,2020-01-12
32,False,2020-01-19
28,False,2020-01-26
72,False,2020-02-02
41,False,2020-02-09
27,False,2020-02-16
79,False,2020-02-23
50,False,2020-03-01
59,False,2020-03-08
0,False,2020-03-15
30,False,2020-03-22
29,False,2020-03-29
26,False,2020-04-05
37,False,2020-04-12
46,False,2020-04-19
32,False,2020-04-26
19,False,2020-05-03
48,False,2020-05-10
19,False,2020-05-17
59,False,2020-05-24
32,False,2020-05-31
33,False,2020-06-07
40,False,2020-06-14
62,False,2020-06-21
31,False,2020-06-28
57,False,2020-07-05
64,False,2020-07-12
36,False,2020-07-19
43,False,2020-07-26
32,False,2020-08-02
65,False,2020-08-09
100,True,2020-08-16
