violent,isPartial,date
30,False,2019-09-08
30,False,2019-09-15
32,False,2019-09-22
15,False,2019-09-29
29,False,2019-10-06
42,False,2019-10-13
36,False,2019-10-20
35,False,2019-10-27
34,False,2019-11-03
32,False,2019-11-10
28,False,2019-11-17
21,False,2019-11-24
34,False,2019-12-01
32,False,2019-12-08
28,False,2019-12-15
32,False,2019-12-22
28,False,2019-12-29
18,False,2020-01-05
31,False,2020-01-12
24,False,2020-01-19
36,False,2020-01-26
36,False,2020-02-02
46,False,2020-02-09
33,False,2020-02-16
22,False,2020-02-23
32,False,2020-03-01
26,False,2020-03-08
18,False,2020-03-15
32,False,2020-03-22
26,False,2020-03-29
31,False,2020-04-05
34,False,2020-04-12
36,False,2020-04-19
29,False,2020-04-26
27,False,2020-05-03
21,False,2020-05-10
29,False,2020-05-17
42,False,2020-05-24
100,False,2020-05-31
45,False,2020-06-07
36,False,2020-06-14
35,False,2020-06-21
39,False,2020-06-28
44,False,2020-07-05
30,False,2020-07-12
34,False,2020-07-19
35,False,2020-07-26
28,False,2020-08-02
41,False,2020-08-09
37,False,2020-08-16
17,False,2020-08-23
48,True,2020-08-30
