violence,isPartial,date
36,False,2019-09-08
34,False,2019-09-15
36,False,2019-09-22
34,False,2019-09-29
53,False,2019-10-06
38,False,2019-10-13
31,False,2019-10-20
50,False,2019-10-27
42,False,2019-11-03
51,False,2019-11-10
67,False,2019-11-17
30,False,2019-11-24
56,False,2019-12-01
70,False,2019-12-08
50,False,2019-12-15
42,False,2019-12-22
26,False,2019-12-29
34,False,2020-01-05
57,False,2020-01-12
34,False,2020-01-19
42,False,2020-01-26
49,False,2020-02-02
25,False,2020-02-09
52,False,2020-02-16
34,False,2020-02-23
50,False,2020-03-01
47,False,2020-03-08
27,False,2020-03-15
36,False,2020-03-22
29,False,2020-03-29
23,False,2020-04-05
31,False,2020-04-12
21,False,2020-04-19
54,False,2020-04-26
34,False,2020-05-03
33,False,2020-05-10
22,False,2020-05-17
41,False,2020-05-24
100,False,2020-05-31
74,False,2020-06-07
71,False,2020-06-14
40,False,2020-06-21
29,False,2020-06-28
39,False,2020-07-05
35,False,2020-07-12
35,False,2020-07-19
22,False,2020-07-26
27,False,2020-08-02
35,False,2020-08-09
39,False,2020-08-16
51,False,2020-08-23
26,True,2020-08-30
