violence,isPartial,date
40,False,2019-08-25
27,False,2019-09-01
42,False,2019-09-08
46,False,2019-09-15
34,False,2019-09-22
45,False,2019-09-29
44,False,2019-10-06
45,False,2019-10-13
43,False,2019-10-20
49,False,2019-10-27
43,False,2019-11-03
19,False,2019-11-10
33,False,2019-11-17
22,False,2019-11-24
45,False,2019-12-01
35,False,2019-12-08
28,False,2019-12-15
20,False,2019-12-22
26,False,2019-12-29
34,False,2020-01-05
33,False,2020-01-12
31,False,2020-01-19
37,False,2020-01-26
30,False,2020-02-02
23,False,2020-02-09
38,False,2020-02-16
43,False,2020-02-23
37,False,2020-03-01
37,False,2020-03-08
28,False,2020-03-15
33,False,2020-03-22
27,False,2020-03-29
32,False,2020-04-05
35,False,2020-04-12
37,False,2020-04-19
38,False,2020-04-26
27,False,2020-05-03
38,False,2020-05-10
26,False,2020-05-17
49,False,2020-05-24
100,False,2020-05-31
52,False,2020-06-07
28,False,2020-06-14
42,False,2020-06-21
22,False,2020-06-28
27,False,2020-07-05
27,False,2020-07-12
38,False,2020-07-19
28,False,2020-07-26
26,False,2020-08-02
38,False,2020-08-09
21,True,2020-08-16
