violence,isPartial,date
39,False,2019-09-08
40,False,2019-09-15
40,False,2019-09-22
47,False,2019-09-29
40,False,2019-10-06
39,False,2019-10-13
47,False,2019-10-20
47,False,2019-10-27
51,False,2019-11-03
55,False,2019-11-10
50,False,2019-11-17
36,False,2019-11-24
35,False,2019-12-01
37,False,2019-12-08
29,False,2019-12-15
23,False,2019-12-22
21,False,2019-12-29
34,False,2020-01-05
32,False,2020-01-12
29,False,2020-01-19
35,False,2020-01-26
52,False,2020-02-02
36,False,2020-02-09
41,False,2020-02-16
43,False,2020-02-23
35,False,2020-03-01
31,False,2020-03-08
24,False,2020-03-15
31,False,2020-03-22
33,False,2020-03-29
36,False,2020-04-05
31,False,2020-04-12
32,False,2020-04-19
37,False,2020-04-26
30,False,2020-05-03
37,False,2020-05-10
25,False,2020-05-17
49,False,2020-05-24
100,False,2020-05-31
52,False,2020-06-07
39,False,2020-06-14
43,False,2020-06-21
41,False,2020-06-28
38,False,2020-07-05
31,False,2020-07-12
41,False,2020-07-19
38,False,2020-07-26
44,False,2020-08-02
44,False,2020-08-09
46,False,2020-08-16
56,False,2020-08-23
65,True,2020-08-30
