headache,isPartial,date
63,False,2019-08-11
64,False,2019-08-18
59,False,2019-08-25
59,False,2019-09-01
62,False,2019-09-08
62,False,2019-09-15
64,False,2019-09-22
61,False,2019-09-29
61,False,2019-10-06
63,False,2019-10-13
63,False,2019-10-20
60,False,2019-10-27
63,False,2019-11-03
60,False,2019-11-10
64,False,2019-11-17
59,False,2019-11-24
62,False,2019-12-01
61,False,2019-12-08
61,False,2019-12-15
66,False,2019-12-22
72,False,2019-12-29
70,False,2020-01-05
69,False,2020-01-12
69,False,2020-01-19
71,False,2020-01-26
69,False,2020-02-02
68,False,2020-02-09
70,False,2020-02-16
69,False,2020-02-23
69,False,2020-03-01
75,False,2020-03-08
92,False,2020-03-15
100,False,2020-03-22
97,False,2020-03-29
90,False,2020-04-05
78,False,2020-04-12
76,False,2020-04-19
74,False,2020-04-26
70,False,2020-05-03
71,False,2020-05-10
69,False,2020-05-17
69,False,2020-05-24
64,False,2020-05-31
64,False,2020-06-07
67,False,2020-06-14
77,False,2020-06-21
76,False,2020-06-28
79,False,2020-07-05
81,False,2020-07-12
79,False,2020-07-19
77,False,2020-07-26
69,True,2020-08-02
