back pain,isPartial,date
91,False,2019-08-11
90,False,2019-08-18
87,False,2019-08-25
86,False,2019-09-01
85,False,2019-09-08
89,False,2019-09-15
87,False,2019-09-22
88,False,2019-09-29
87,False,2019-10-06
86,False,2019-10-13
88,False,2019-10-20
85,False,2019-10-27
87,False,2019-11-03
86,False,2019-11-10
88,False,2019-11-17
86,False,2019-11-24
86,False,2019-12-01
84,False,2019-12-08
82,False,2019-12-15
92,False,2019-12-22
100,False,2019-12-29
95,False,2020-01-05
92,False,2020-01-12
92,False,2020-01-19
90,False,2020-01-26
87,False,2020-02-02
89,False,2020-02-09
92,False,2020-02-16
88,False,2020-02-23
84,False,2020-03-01
79,False,2020-03-08
70,False,2020-03-15
86,False,2020-03-22
87,False,2020-03-29
88,False,2020-04-05
87,False,2020-04-12
87,False,2020-04-19
87,False,2020-04-26
85,False,2020-05-03
87,False,2020-05-10
88,False,2020-05-17
88,False,2020-05-24
81,False,2020-05-31
86,False,2020-06-07
89,False,2020-06-14
91,False,2020-06-21
90,False,2020-06-28
94,False,2020-07-05
93,False,2020-07-12
92,False,2020-07-19
92,False,2020-07-26
96,True,2020-08-02
