social anxiety,isPartial,date
53,False,2019-08-11
57,False,2019-08-18
61,False,2019-08-25
54,False,2019-09-01
60,False,2019-09-08
61,False,2019-09-15
61,False,2019-09-22
61,False,2019-09-29
63,False,2019-10-06
60,False,2019-10-13
60,False,2019-10-20
65,False,2019-10-27
63,False,2019-11-03
87,False,2019-11-10
100,False,2019-11-17
69,False,2019-11-24
66,False,2019-12-01
66,False,2019-12-08
56,False,2019-12-15
50,False,2019-12-22
52,False,2019-12-29
56,False,2020-01-05
67,False,2020-01-12
65,False,2020-01-19
72,False,2020-01-26
61,False,2020-02-02
66,False,2020-02-09
69,False,2020-02-16
66,False,2020-02-23
68,False,2020-03-01
56,False,2020-03-08
41,False,2020-03-15
40,False,2020-03-22
48,False,2020-03-29
45,False,2020-04-05
46,False,2020-04-12
49,False,2020-04-19
57,False,2020-04-26
53,False,2020-05-03
52,False,2020-05-10
45,False,2020-05-17
49,False,2020-05-24
46,False,2020-05-31
61,False,2020-06-07
57,False,2020-06-14
52,False,2020-06-21
54,False,2020-06-28
59,False,2020-07-05
54,False,2020-07-12
59,False,2020-07-19
59,False,2020-07-26
47,True,2020-08-02
