cbd,isPartial,date
100,False,2019-08-11
98,False,2019-08-18
100,False,2019-08-25
86,False,2019-09-01
85,False,2019-09-08
81,False,2019-09-15
83,False,2019-09-22
81,False,2019-09-29
77,False,2019-10-06
79,False,2019-10-13
75,False,2019-10-20
71,False,2019-10-27
74,False,2019-11-03
70,False,2019-11-10
70,False,2019-11-17
68,False,2019-11-24
65,False,2019-12-01
61,False,2019-12-08
63,False,2019-12-15
67,False,2019-12-22
69,False,2019-12-29
69,False,2020-01-05
69,False,2020-01-12
69,False,2020-01-19
68,False,2020-01-26
65,False,2020-02-02
66,False,2020-02-09
68,False,2020-02-16
67,False,2020-02-23
63,False,2020-03-01
54,False,2020-03-08
46,False,2020-03-15
48,False,2020-03-22
48,False,2020-03-29
49,False,2020-04-05
51,False,2020-04-12
59,False,2020-04-19
57,False,2020-04-26
55,False,2020-05-03
56,False,2020-05-10
60,False,2020-05-17
56,False,2020-05-24
51,False,2020-05-31
55,False,2020-06-07
58,False,2020-06-14
59,False,2020-06-21
64,False,2020-06-28
59,False,2020-07-05
60,False,2020-07-12
61,False,2020-07-19
61,False,2020-07-26
60,True,2020-08-02
