withdrawal,isPartial,date
83,False,2019-08-11
80,False,2019-08-18
78,False,2019-08-25
78,False,2019-09-01
79,False,2019-09-08
78,False,2019-09-15
79,False,2019-09-22
84,False,2019-09-29
84,False,2019-10-06
82,False,2019-10-13
84,False,2019-10-20
80,False,2019-10-27
83,False,2019-11-03
78,False,2019-11-10
82,False,2019-11-17
69,False,2019-11-24
82,False,2019-12-01
75,False,2019-12-08
73,False,2019-12-15
73,False,2019-12-22
87,False,2019-12-29
95,False,2020-01-05
86,False,2020-01-12
84,False,2020-01-19
87,False,2020-01-26
86,False,2020-02-02
84,False,2020-02-09
87,False,2020-02-16
96,False,2020-02-23
87,False,2020-03-01
78,False,2020-03-08
76,False,2020-03-15
83,False,2020-03-22
89,False,2020-03-29
88,False,2020-04-05
94,False,2020-04-12
88,False,2020-04-19
89,False,2020-04-26
89,False,2020-05-03
85,False,2020-05-10
84,False,2020-05-17
86,False,2020-05-24
81,False,2020-05-31
88,False,2020-06-07
90,False,2020-06-14
90,False,2020-06-21
95,False,2020-06-28
100,False,2020-07-05
94,False,2020-07-12
94,False,2020-07-19
95,False,2020-07-26
91,True,2020-08-02
