job lot,isPartial,date
64,False,2019-05-26
57,False,2019-06-02
55,False,2019-06-09
46,False,2019-06-16
59,False,2019-06-23
75,False,2019-06-30
49,False,2019-07-07
56,False,2019-07-14
44,False,2019-07-21
45,False,2019-07-28
42,False,2019-08-04
37,False,2019-08-11
39,False,2019-08-18
32,False,2019-08-25
33,False,2019-09-01
28,False,2019-09-08
30,False,2019-09-15
31,False,2019-09-22
25,False,2019-09-29
28,False,2019-10-06
27,False,2019-10-13
26,False,2019-10-20
29,False,2019-10-27
33,False,2019-11-03
36,False,2019-11-10
31,False,2019-11-17
43,False,2019-11-24
35,False,2019-12-01
32,False,2019-12-08
34,False,2019-12-15
40,False,2019-12-22
29,False,2019-12-29
24,False,2020-01-05
23,False,2020-01-12
23,False,2020-01-19
21,False,2020-01-26
23,False,2020-02-02
24,False,2020-02-09
24,False,2020-02-16
26,False,2020-02-23
28,False,2020-03-01
32,False,2020-03-08
42,False,2020-03-15
38,False,2020-03-22
49,False,2020-03-29
55,False,2020-04-05
49,False,2020-04-12
54,False,2020-04-19
62,False,2020-04-26
69,False,2020-05-03
69,False,2020-05-10
100,True,2020-05-17
