job description,isPartial,date
91,False,2019-08-11
96,False,2019-08-18
85,False,2019-08-25
81,False,2019-09-01
93,False,2019-09-08
100,False,2019-09-15
88,False,2019-09-22
90,False,2019-09-29
84,False,2019-10-06
84,False,2019-10-13
88,False,2019-10-20
79,False,2019-10-27
84,False,2019-11-03
82,False,2019-11-10
84,False,2019-11-17
53,False,2019-11-24
77,False,2019-12-01
77,False,2019-12-08
68,False,2019-12-15
44,False,2019-12-22
60,False,2019-12-29
92,False,2020-01-05
98,False,2020-01-12
92,False,2020-01-19
88,False,2020-01-26
89,False,2020-02-02
89,False,2020-02-09
90,False,2020-02-16
88,False,2020-02-23
85,False,2020-03-01
76,False,2020-03-08
54,False,2020-03-15
57,False,2020-03-22
59,False,2020-03-29
58,False,2020-04-05
56,False,2020-04-12
55,False,2020-04-19
58,False,2020-04-26
63,False,2020-05-03
64,False,2020-05-10
63,False,2020-05-17
58,False,2020-05-24
64,False,2020-05-31
71,False,2020-06-07
69,False,2020-06-14
71,False,2020-06-21
67,False,2020-06-28
75,False,2020-07-05
73,False,2020-07-12
72,False,2020-07-19
69,False,2020-07-26
59,True,2020-08-02
