benz,isPartial,date
3,False,2019-05-19
3,False,2019-05-26
3,False,2019-06-02
2,False,2019-06-09
3,False,2019-06-16
3,False,2019-06-23
3,False,2019-06-30
3,False,2019-07-07
3,False,2019-07-14
3,False,2019-07-21
2,False,2019-07-28
3,False,2019-08-04
4,False,2019-08-11
20,False,2019-08-18
50,False,2019-08-25
100,False,2019-09-01
77,False,2019-09-08
72,False,2019-09-15
36,False,2019-09-22
2,False,2019-09-29
2,False,2019-10-06
3,False,2019-10-13
3,False,2019-10-20
2,False,2019-10-27
2,False,2019-11-03
2,False,2019-11-10
2,False,2019-11-17
3,False,2019-11-24
2,False,2019-12-01
2,False,2019-12-08
2,False,2019-12-15
3,False,2019-12-22
3,False,2019-12-29
3,False,2020-01-05
3,False,2020-01-12
3,False,2020-01-19
2,False,2020-01-26
2,False,2020-02-02
2,False,2020-02-09
3,False,2020-02-16
3,False,2020-02-23
3,False,2020-03-01
2,False,2020-03-08
2,False,2020-03-15
2,False,2020-03-22
2,False,2020-03-29
2,False,2020-04-05
2,False,2020-04-12
2,False,2020-04-19
2,False,2020-04-26
2,False,2020-05-03
