ram,isPartial,date
82,False,2019-08-11
82,False,2019-08-18
79,False,2019-08-25
76,False,2019-09-01
76,False,2019-09-08
79,False,2019-09-15
80,False,2019-09-22
79,False,2019-09-29
77,False,2019-10-06
78,False,2019-10-13
77,False,2019-10-20
75,False,2019-10-27
79,False,2019-11-03
78,False,2019-11-10
81,False,2019-11-17
86,False,2019-11-24
78,False,2019-12-01
76,False,2019-12-08
78,False,2019-12-15
100,False,2019-12-22
84,False,2019-12-29
78,False,2020-01-05
81,False,2020-01-12
82,False,2020-01-19
81,False,2020-01-26
78,False,2020-02-02
80,False,2020-02-09
84,False,2020-02-16
83,False,2020-02-23
81,False,2020-03-01
78,False,2020-03-08
68,False,2020-03-15
72,False,2020-03-22
70,False,2020-03-29
70,False,2020-04-05
79,False,2020-04-12
81,False,2020-04-19
84,False,2020-04-26
83,False,2020-05-03
86,False,2020-05-10
89,False,2020-05-17
90,False,2020-05-24
84,False,2020-05-31
89,False,2020-06-07
89,False,2020-06-14
90,False,2020-06-21
90,False,2020-06-28
88,False,2020-07-05
91,False,2020-07-12
92,False,2020-07-19
93,False,2020-07-26
95,True,2020-08-02
