memory foam mattress,isPartial,date
70,False,2019-08-11
78,False,2019-08-18
68,False,2019-08-25
72,False,2019-09-01
56,False,2019-09-08
59,False,2019-09-15
55,False,2019-09-22
58,False,2019-09-29
55,False,2019-10-06
50,False,2019-10-13
51,False,2019-10-20
52,False,2019-10-27
58,False,2019-11-03
55,False,2019-11-10
60,False,2019-11-17
84,False,2019-11-24
64,False,2019-12-01
62,False,2019-12-08
55,False,2019-12-15
67,False,2019-12-22
70,False,2019-12-29
60,False,2020-01-05
60,False,2020-01-12
60,False,2020-01-19
57,False,2020-01-26
62,False,2020-02-02
59,False,2020-02-09
66,False,2020-02-16
62,False,2020-02-23
59,False,2020-03-01
52,False,2020-03-08
45,False,2020-03-15
43,False,2020-03-22
52,False,2020-03-29
52,False,2020-04-05
76,False,2020-04-12
73,False,2020-04-19
69,False,2020-04-26
76,False,2020-05-03
78,False,2020-05-10
92,False,2020-05-17
85,False,2020-05-24
68,False,2020-05-31
71,False,2020-06-07
79,False,2020-06-14
78,False,2020-06-21
87,False,2020-06-28
80,False,2020-07-05
78,False,2020-07-12
79,False,2020-07-19
84,False,2020-07-26
100,True,2020-08-02
