memory foam mattress topper,isPartial,date
95,False,2019-08-11
100,False,2019-08-18
75,False,2019-08-25
76,False,2019-09-01
65,False,2019-09-08
69,False,2019-09-15
66,False,2019-09-22
67,False,2019-09-29
64,False,2019-10-06
57,False,2019-10-13
55,False,2019-10-20
49,False,2019-10-27
55,False,2019-11-03
66,False,2019-11-10
70,False,2019-11-17
99,False,2019-11-24
81,False,2019-12-01
70,False,2019-12-08
61,False,2019-12-15
71,False,2019-12-22
90,False,2019-12-29
72,False,2020-01-05
59,False,2020-01-12
60,False,2020-01-19
60,False,2020-01-26
55,False,2020-02-02
60,False,2020-02-09
73,False,2020-02-16
64,False,2020-02-23
53,False,2020-03-01
55,False,2020-03-08
41,False,2020-03-15
50,False,2020-03-22
54,False,2020-03-29
57,False,2020-04-05
73,False,2020-04-12
74,False,2020-04-19
78,False,2020-04-26
74,False,2020-05-03
76,False,2020-05-10
79,False,2020-05-17
81,False,2020-05-24
62,False,2020-05-31
72,False,2020-06-07
79,False,2020-06-14
79,False,2020-06-21
83,False,2020-06-28
79,False,2020-07-05
75,False,2020-07-12
75,False,2020-07-19
93,False,2020-07-26
97,True,2020-08-02
