foam mattress,isPartial,date
93,False,2019-08-11
84,False,2019-08-18
78,False,2019-08-25
79,False,2019-09-01
65,False,2019-09-08
63,False,2019-09-15
67,False,2019-09-22
63,False,2019-09-29
61,False,2019-10-06
65,False,2019-10-13
61,False,2019-10-20
58,False,2019-10-27
69,False,2019-11-03
71,False,2019-11-10
65,False,2019-11-17
93,False,2019-11-24
81,False,2019-12-01
67,False,2019-12-08
63,False,2019-12-15
68,False,2019-12-22
78,False,2019-12-29
70,False,2020-01-05
70,False,2020-01-12
68,False,2020-01-19
61,False,2020-01-26
59,False,2020-02-02
69,False,2020-02-09
76,False,2020-02-16
68,False,2020-02-23
68,False,2020-03-01
57,False,2020-03-08
48,False,2020-03-15
50,False,2020-03-22
55,False,2020-03-29
60,False,2020-04-05
78,False,2020-04-12
82,False,2020-04-19
83,False,2020-04-26
80,False,2020-05-03
84,False,2020-05-10
100,False,2020-05-17
96,False,2020-05-24
78,False,2020-05-31
82,False,2020-06-07
85,False,2020-06-14
86,False,2020-06-21
95,False,2020-06-28
85,False,2020-07-05
93,False,2020-07-12
89,False,2020-07-19
95,False,2020-07-26
97,True,2020-08-02
