query,value
anxiety depression,100
depression,97
anxiety disorder,92
anxiety attack,91
anxiety symptoms,86
anxiety help,73
what is anxiety,70
depression and anxiety,63
anxiety medication,62
social anxiety,62
help with anxiety,45
dog anxiety,39
symptoms of anxiety,39
separation anxiety,38
cbd,36
cbd anxiety,35
anxiety attacks,28
sleep anxiety,28
anxiety test,27
high anxiety,27
anxiety meds,27
stress and anxiety,26
cbd for anxiety,26
anti anxiety,25
health anxiety,24
