query,value
opioid crisis,100
opioid use,90
what is opioid,86
opioid addiction,85
opioid drug,78
epidemic,70
opioid treatment,70
withdrawal,70
opioid epidemic,68
opioid withdrawal,65
opioids,64
opiod,60
opioid overdose,53
opioid abuse,41
opioid deaths,40
drugs,36
opioid drugs,34
what is a opioid,34
opioid use disorder,33
opioid medication,31
what is an opioid,31
the opioid crisis,31
opioid effects,30
tramadol opioid,30
heroin,29
