query,value
suicide squad,100
suicide hotline,33
suicide prevention,28
suicide rate,25
what is suicide,21
murder suicide,20
suicide rates,17
suicide squad 2,16
suicide boys,15
the suicide squad,14
joker,13
joker suicide squad,12
assisted suicide,11
suicide squad cast,10
epstein suicide,10
suicide forest,10
depression,9
epstein,9
suicide squad harley quinn,9
harley quinn,8
suicide number,8
teen suicide,8
coronavirus suicide,8
suicide song,8
suicide note,8
