query,value
apple,100
loans,100
bmw,100
binance,99
benz,99
job hunting,99
btc,98
jobs,72
job description,50
get a job,28
job openings,27
job near me,26
job application,25
good job,14
job search,13
how to get a job,12
job indeed,12
job lot,12
jobs near me,11
job hiring,11
nose job,11
job center,11
job fair,10
job service,10
job resume,9
