Query,Order
anxiety,"(1, 0, 0)"
baby blues -cartoon -dolly -comic -comics -bbq -movie -nashville -lyrics -shark -back -bar -hey,"(1, 1, 1)"
clinical depression,"(2, 0, 0)"
depressed -scooby -anime -cartoon -wallpaper -backgrounds -wallpapers -cat -dog -fish -cats -dogs,"(1, 0, 0)"
depression -economic -tropical -great -unemployment -headed -the -recession -2020,"(0, 1, 0)"
depression and anxiety,"(2, 0, 1)"
feeling down,"(0, 1, 1)"
how to deal with depression -economic -great -recession,"(0, 0, 0)"
how to help depression,"(1, 0, 0)"
manic depression,"(0, 0, 3)"
postnatal depression + post natal depression,"(0, 0, 0)"
postpartum depression,"(0, 1, 1)"
severe depression,"(1, 0, 0)"
signs of depression,"(0, 1, 1)"
symptoms of depression,"(1, 0, 0)"
what is depression -recession -great -economic,"(1, 0, 0)"
